策略名称,回测开始,回测结束,本金,回测耗时,策略收益,策略年化收益,超额收益,基准收益,阿尔法,贝塔,夏普比率,胜率,盈亏比,最大回撤,索提诺比率,日均超额收益,超额收益最大回撤,超额收益夏普比率,日胜率,盈利次数,亏损次数,信息比率,策略波动率,基准波动率,最大回撤区间
2024_1_origin_py/1.差不多得了,2023-09-01,2026-02-21,200000,,123.41%,40.18%,54.49%,44.61%,0.263,0.777,1.011,0.611,1.935,39.87%,1.218,0.09%,40.85%,0.519,0.529,116,74,0.751,0.358,0.236,"2024/01/26,2024/02/07"
2024_1_origin_py/10.多因子宽基ETF择时轮动改进版-高收益大资金低回撤,2023-09-01,2026-02-21,200000,00分26秒,-0.77%,-0.33%,-36.31%,55.81%,-0.092,0.299,-0.251,0.363,1.018,17.40%,-0.463,-0.06%,48.97%,-0.808,0.506,45,79,-0.775,0.172,0.324,"2023/09/22,2024/09/04"
2024_1_origin_py/11.低价小盘简单有效,2023-09-01,2026-02-21,200000,02分14秒,118.78%,38.95%,51.29%,44.61%,0.249,0.784,0.948,0.652,2.353,50.34%,1.225,0.09%,48.47%,0.468,0.546,131,70,0.688,0.368,0.236,"2024/01/09,2024/06/24"
2024_1_origin_py/12.致敬聚宽机器学习多因子50只持仓14年37倍,2023-09-01,2026-02-21,200000,26分32秒,65.09%,23.45%,33.38%,23.77%,0.145,0.928,0.790,0.580,2.200,24.25%,0.994,0.06%,23.56%,0.481,0.541,542,392,0.762,0.246,0.176,"2023/11/28,2024/02/05"
2024_1_origin_py/13.5年15倍的收益，年化79.93%，可实盘，拿走不谢！,2023-09-01,2026-02-21,200000,,118.72%,38.94%,76.71%,23.77%,0.299,0.940,0.856,0.661,2.694,49.63%,0.984,0.12%,49.90%,0.617,0.566,84,43,0.791,0.408,0.176,"2024/01/04,2024/02/07"
2024_1_origin_py/14.四年多翻9倍，年化73%，成长因子评分筛选,2023-09-01,2026-02-21,200000,,125.84%,40.82%,56.18%,44.61%,0.254,0.898,1.007,0.559,2.623,45.39%,1.281,0.09%,40.24%,0.557,0.518,52,41,0.805,0.366,0.236,"2023/09/27,2024/02/07"
2024_1_origin_py/16.大市值价值投资，从2005年至今超额稳定,2023-09-01,2026-02-21,200000,,36.71%,14.04%,10.45%,23.77%,0.055,0.836,0.432,0.685,2.456,18.09%,0.537,0.02%,17.08%,0.015,0.503,37,17,0.256,0.232,0.176,"2024/01/26,2024/02/05"
2024_1_origin_py/17.5年超额收益1055%，K线处理大阴线，无未来,2023-09-01,2026-02-21,200000,01分18秒,105.69%,35.39%,42.24%,44.61%,0.209,0.826,0.982,0.564,2.009,39.50%,1.276,0.07%,41.72%,0.467,0.533,62,48,0.726,0.320,0.236,"2024/01/18,2024/06/06"
2024_1_origin_py/18.微盘股研究,2023-09-01,2026-02-21,200000,05分22秒,136.31%,43.52%,90.92%,23.77%,0.350,0.845,1.208,0.675,3.522,37.60%,1.440,0.13%,37.96%,0.931,0.561,1604,773,1.166,0.327,0.176,"2024/01/04,2024/02/07"
2024_1_origin_py/19.高股息低市盈率高增长的价投策略,2023-09-01,2026-02-21,200000,,57.92%,21.16%,27.59%,23.77%,0.131,0.763,0.935,0.624,2.795,16.02%,1.272,0.04%,11.20%,0.514,0.545,63,38,0.893,0.184,0.176,"2024/05/13,2024/09/13"
2024_1_origin_py/2.“7年40倍”策略扩容到50只,2023-09-01,2026-02-21,200000,03分56秒,146.96%,46.21%,70.78%,44.61%,0.316,0.830,1.237,0.673,3.064,45.19%,1.433,0.11%,43.29%,0.757,0.582,836,407,1.043,0.341,0.236,"2024/01/02,2024/02/07"
2024_1_origin_py/20.有赚就好-小市值剥头皮改进 2年3.86%回撤,2023-09-01,2026-02-21,200000,18分21秒,83.22%,28.97%,29.24%,41.76%,0.231,0.156,2.025,0.638,2.219,15.10%,2.657,0.06%,37.41%,0.279,0.511,422,239,0.497,0.123,0.283,"2024/03/20,2024/09/06"
2024_1_origin_py/21.一种宏观数据的中长线策略，年化15%，最大回撤9%,2023-09-01,2026-02-21,200000,00分43秒,13.60%,5.50%,-8.22%,23.77%,-0.026,0.766,0.096,0.250,2.087,18.36%,0.132,-0.01%,13.13%,-0.829,0.518,6,18,-0.432,0.157,0.176,"2024/10/08,2025/04/07"
2024_1_origin_py/23.wywy1995大神机器学习策略年化提升35pt,2023-09-01,2026-02-21,200000,06分06秒,165.32%,50.68%,114.36%,23.77%,0.419,0.892,1.273,0.651,2.354,45.72%,1.618,0.15%,46.33%,1.020,0.565,196,105,1.245,0.367,0.176,"2023/12/04,2024/02/07"
2024_1_origin_py/25.低价股优化，18年至今10625.40%，已加防未来函数,2023-09-01,2026-02-21,200000,01分41秒,0.00%,0.00%,-19.21%,23.77%,-0.040,0.000,0.000,0.000,0.000,0.00%,0.000,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0.000,0.176,"2023/09/01,2023/09/01"
2024_1_origin_py/26.【深度解析 六】高股息率-低PEG-低股价 模型,2023-09-01,2026-02-21,200000,02分34秒,99.25%,33.60%,60.98%,23.77%,0.253,0.793,0.982,0.716,3.578,41.57%,1.151,0.09%,41.23%,0.674,0.587,154,61,0.898,0.301,0.176,"2023/11/22,2024/02/07"
2024_1_origin_py/27.根据大小盘相对强弱选择合适的板块股票进行交易,2023-09-01,2026-02-21,200000,01分15秒,1.21%,0.51%,-28.14%,40.84%,-0.114,0.686,-0.149,0.535,1.035,44.73%,-0.145,-0.05%,49.78%,-0.866,0.514,114,99,-0.763,0.234,0.209,"2024/01/02,2025/01/03"
2024_1_origin_py/28.正黄旗大妈选股法，修改版，年化92%,2023-09-01,2026-02-21,200000,01分06秒,172.80%,52.45%,88.65%,44.61%,0.383,0.792,1.409,0.750,5.761,38.92%,1.742,0.12%,37.80%,0.914,0.571,60,20,1.220,0.344,0.236,"2024/01/04,2024/02/07"
2024_1_origin_py/29.高增股池小市值轮动,2023-09-01,2026-02-21,200000,01分31秒,141.38%,44.81%,95.02%,23.77%,0.361,0.880,1.282,0.686,2.986,42.80%,1.647,0.13%,42.74%,1.017,0.543,168,77,1.270,0.318,0.176,"2024/01/04,2024/02/07"
2024_1_origin_py/3.【回顾3】ETF策略之核心资产轮动,2023-09-01,2026-02-21,200000,00分22秒,95.66%,32.58%,58.08%,23.77%,0.236,0.921,0.927,0.559,3.023,28.50%,1.181,0.09%,23.72%,0.657,0.531,19,15,0.883,0.308,0.176,"2024/10/08,2024/11/18"
2024_1_origin_py/30.挖掘中国特色的估值体系投资机会，年化150%+,2023-09-01,2026-02-21,200000,02分23秒,-8.95%,-3.86%,-26.44%,23.77%,-0.119,0.748,-0.385,0.350,1.388,20.73%,-0.579,-0.05%,33.37%,-0.995,0.449,7,13,-0.815,0.204,0.176,"2024/05/22,2024/09/13"
2024_1_origin_py/31.动量因子加RSRS择时和ETF轮动每日调仓,2023-09-01,2026-02-21,200000,00分23秒,87.10%,30.11%,51.16%,23.77%,0.210,0.952,0.864,0.545,2.524,26.95%,1.120,0.08%,21.30%,0.596,0.524,24,20,0.823,0.302,0.176,"2024/10/08,2024/11/18"
2024_1_origin_py/32.非线性市值（非小市值）组合4只,2023-09-01,2026-02-21,200000,05分59秒,60.00%,21.83%,29.26%,23.77%,0.125,0.998,0.586,0.500,2.053,26.85%,0.814,0.06%,24.92%,0.297,0.521,27,27,0.501,0.304,0.176,"2024/05/08,2024/09/18"
2024_1_origin_py/34.韶华研究之十八，201系列,2023-09-01,2026-02-21,200000,16分04秒,37.91%,14.46%,5.86%,30.28%,0.084,0.264,0.373,0.522,1.270,22.93%,0.547,0.03%,32.13%,-0.052,0.459,145,133,0.090,0.281,0.161,"2025/03/20,2025/09/03"
2024_1_origin_py/35.5年12倍-小市值,2023-09-01,2026-02-21,200000,04分45秒,113.55%,37.54%,47.67%,44.61%,0.221,0.896,0.982,0.566,1.838,37.61%,1.209,0.08%,36.98%,0.515,0.543,211,162,0.772,0.342,0.236,"2023/09/04,2024/02/07"
"2024_1_origin_py/36.【菜场大妈】股息率小市值策略,10年206倍,5年10.8倍",2023-09-01,2026-02-21,200000,01分39秒,88.33%,30.47%,30.24%,44.61%,0.176,0.695,0.769,0.688,2.549,41.92%,0.998,0.06%,40.85%,0.250,0.534,53,24,0.441,0.344,0.236,"2023/11/28,2024/02/07"
2024_1_origin_py/37.【择时模块实际效果】--论坛随便选了个策略加装,2023-09-01,2026-02-21,200000,10分10秒,37.34%,14.26%,-5.02%,44.61%,0.042,0.473,0.395,0.476,1.322,18.91%,0.494,0.01%,38.19%,-0.232,0.484,608,669,-0.094,0.260,0.236,"2024/12/20,2025/04/10"
2024_1_origin_py/38.ETF核心资产轮动-添油加醋,2023-09-01,2026-02-21,200000,01分32秒,75.52%,26.67%,9.33%,60.54%,0.175,0.285,0.772,0.535,2.400,27.75%,0.974,0.04%,33.19%,-0.006,0.499,23,20,0.143,0.294,0.219,"2024/10/08,2024/11/18"
2024_1_origin_py/39.大资金优质股策略，总收益1217%！无小市值因子！,2023-09-01,2026-02-21,200000,00分34秒,19.59%,7.81%,-17.30%,44.61%,-0.040,0.611,0.180,0.476,1.362,26.53%,0.238,-0.03%,35.52%,-0.659,0.501,39,43,-0.499,0.211,0.236,"2024/04/08,2024/09/09"
2024_1_origin_py/4.首板低开策略,2023-09-01,2026-02-21,200000,25分22秒,140.21%,44.51%,94.07%,23.77%,0.402,0.051,1.191,0.541,1.982,27.02%,2.677,0.14%,39.09%,0.745,0.496,33,28,0.928,0.340,0.176,"2024/09/04,2025/04/08"
2024_1_origin_py/40.14年初到23年7月，年化37，夏普1.25，稳健高收益！,2023-09-01,2026-02-21,200000,02分12秒,83.88%,29.17%,40.53%,30.85%,0.171,1.011,1.089,0.539,2.326,23.11%,1.387,0.06%,18.37%,0.692,0.551,166,142,1.048,0.231,0.161,"2023/12/07,2024/02/05"
2024_1_origin_py/42.大盘ETF动量轮动RSRS择时策略-无纳指（5年半861%）,2023-09-01,2026-02-21,200000,00分25秒,0.25%,0.11%,-35.66%,55.81%,-0.095,0.339,-0.214,0.393,1.029,22.57%,-0.342,-0.06%,49.70%,-0.830,0.513,48,74,-0.787,0.182,0.324,"2024/11/04,2025/06/23"
2024_1_origin_py/43.ETF轮动：年化收益82.68%，最大回撤13.54%,2023-09-01,2026-02-21,200000,00分50秒,11.64%,4.74%,-9.80%,23.77%,-0.047,1.004,0.021,0.443,1.190,38.84%,0.031,0.00%,37.46%,-0.279,0.501,27,34,-0.157,0.345,0.176,"2025/10/09,2026/02/02"
2024_1_origin_py/44.分享一个兼顾业绩增长和PEG指标的股票策略,2023-09-01,2026-02-21,200000,08分53秒,77.71%,27.33%,29.50%,37.22%,0.143,0.881,0.766,0.636,1.650,23.21%,0.875,0.05%,18.78%,0.316,0.526,201,115,0.557,0.304,0.221,"2024/01/04,2024/07/10"
"2024_1_origin_py/45.[原创]价值投资+期货对冲V4.0,无惧市场大跌",2023-09-01,2026-02-21,200000,00分46秒,67.29%,24.14%,15.69%,44.61%,0.161,0.320,1.369,0.875,688.514,9.07%,1.625,0.03%,25.54%,0.114,0.516,7,1,0.361,0.147,0.236,"2024/05/20,2024/07/24"
2024_1_origin_py/46.【深度解析 四】聚宽三因子基本面 模型,2023-09-01,2026-02-21,200000,01分42秒,101.11%,34.12%,39.08%,44.61%,0.196,0.825,0.800,0.614,2.165,44.38%,0.933,0.08%,44.90%,0.337,0.546,151,95,0.535,0.376,0.236,"2024/01/17,2024/02/07"
2024_1_origin_py/48.低代码迁移成本的实盘方案jqtrade+one quant,2023-09-01,2026-02-21,200000,01分40秒,224.49%,63.98%,162.16%,23.77%,0.553,0.870,1.487,0.650,2.710,46.11%,1.970,0.19%,44.76%,1.230,0.546,143,77,1.460,0.403,0.176,"2023/11/29,2024/02/07"
2024_1_origin_py/49.年化62%的动量策略,2023-09-01,2026-02-21,200000,54分41秒,15.03%,6.06%,-7.07%,23.77%,-0.042,1.157,0.060,0.532,1.157,39.10%,0.092,0.00%,35.92%,-0.256,0.474,771,677,-0.121,0.341,0.176,"2023/09/04,2024/02/07"
2024_1_origin_py/5.尝试用机器学习批量生产小盘策略,2023-09-01,2026-02-21,200000,01分41秒,243.50%,67.95%,142.30%,41.76%,0.524,0.983,1.630,0.674,3.370,50.58%,2.012,0.16%,40.01%,1.477,0.568,145,70,1.882,0.392,0.283,"2024/01/09,2024/02/07"
2024_1_origin_py/50.新策略，一种新思路，超额376%！,2023-09-01,2026-02-21,200000,00分30秒,46.77%,17.49%,1.49%,44.61%,0.050,0.667,0.589,0.596,2.017,29.00%,0.663,0.01%,22.99%,-0.184,0.509,59,40,0.040,0.229,0.236,"2024/01/04,2024/02/05"
2024_1_origin_py/52.增强型投资组合优化（EPO）方法试用,2023-09-01,2026-02-21,200000,00分11秒,79.67%,27.92%,45.16%,23.77%,0.215,0.449,1.855,0.935,133.665,9.79%,2.039,0.07%,14.58%,0.925,0.571,43,3,1.319,0.129,0.176,"2026/01/29,2026/02/02"
2024_1_origin_py/53.微盘400每日再平衡,2023-09-01,2026-02-21,200000,06分41秒,26.95%,10.55%,-10.45%,41.76%,0.038,0.237,0.732,0.775,5.982,10.23%,0.869,-0.01%,37.46%,-0.379,0.489,1052,306,-0.235,0.089,0.283,"2024/04/02,2024/06/24"
2024_1_origin_py/55.Ahfu的大市值价值投资加自定义邮箱推送,2023-09-01,2026-02-21,200000,00分44秒,56.31%,20.65%,26.29%,23.77%,0.124,0.789,0.765,0.683,2.894,18.09%,0.982,0.05%,17.08%,0.367,0.508,41,19,0.656,0.218,0.176,"2024/01/26,2024/02/05"
2024_1_origin_py/59.基于Gyro^.^大神的小市值策略的因子匹配研究,2023-09-01,2026-02-21,200000,05分13秒,137.42%,43.81%,91.81%,23.77%,0.347,0.958,1.005,0.639,4.338,42.29%,1.234,0.14%,42.46%,0.767,0.545,23,13,0.960,0.396,0.176,"2024/01/26,2024/02/07"
2024_1_origin_py/6.高股息低杠杆小市值轮动策略,2023-09-01,2026-02-21,200000,02分51秒,90.85%,31.20%,31.97%,44.61%,0.161,0.867,0.728,0.681,2.823,48.83%,0.853,0.07%,46.72%,0.268,0.539,98,46,0.460,0.374,0.236,"2024/01/04,2024/02/07"
2024_1_origin_py/60.【深度解析 二】资产负债与ROA模型,2023-09-01,2026-02-21,200000,00分53秒,75.60%,26.69%,41.88%,23.77%,0.179,0.888,0.816,0.640,2.618,26.89%,1.107,0.07%,22.53%,0.512,0.548,32,18,0.750,0.278,0.176,"2023/09/04,2024/02/05"
2024_1_origin_py/65.低开买入小市值策略（剥头皮策略）3.0 总结,2023-09-01,2026-02-21,200000,07分48秒,54.48%,20.05%,8.97%,41.76%,0.131,0.254,0.848,0.579,1.491,26.14%,1.004,0.03%,41.63%,-0.012,0.519,410,298,0.155,0.189,0.283,"2024/01/03,2024/08/05"
2024_1_origin_py/66.SVR机器学习上证综指择时中小板财务选股策略,2023-09-01,2026-02-21,200000,03分32秒,66.18%,23.79%,34.26%,23.77%,0.168,0.564,0.842,0.546,1.628,19.99%,1.094,0.06%,27.28%,0.405,0.536,294,244,0.636,0.235,0.176,"2024/10/08,2025/01/06"2024_1_origin_py/70.致敬市场(12)——赚钱的策略,2023-09-01,2026-02-21,200000,00分37秒,6.36%,2.63%,-14.07%,23.77%,-0.023,0.181,-0.387,0.167,0.306,3.52%,-0.509,-0.02%,28.25%,-0.705,0.504,2,10,-0.466,0.035,0.176,"2024/10/08,2025/04/07"
2024_1_origin_py/71.小试多因子策略，年化65%,2023-09-01,2026-02-21,200000,01分38秒,135.02%,43.19%,62.52%,44.61%,0.270,0.959,1.024,0.581,2.214,45.79%,1.210,0.10%,46.30%,0.608,0.563,125,90,0.856,0.383,0.236,"2024/01/17,2024/02/07"
2024_1_origin_py/72.桥水 全天候策略 增加一致性度量ES 风险控制,2023-09-01,2026-02-21,200000,00分12秒,22.82%,9.02%,-0.77%,23.77%,0.043,0.139,1.400,1.000,18656.310,2.73%,1.602,0.00%,24.59%,-0.283,0.528,8,0,-0.023,0.036,0.176,"2025/02/14,2025/04/07"
2024_1_origin_py/73.稳健趋势策略，回测小，无未来函数,2023-09-01,2026-02-21,200000,00分57秒,91.32%,31.34%,35.84%,40.84%,0.167,0.929,1.054,0.656,3.517,29.86%,1.370,0.06%,14.80%,0.563,0.518,59,31,0.920,0.259,0.209,"2023/11/21,2024/02/05"
2024_1_origin_py/74.形态识别_单边上涨v3,2023-09-01,2026-02-21,200000,18分21秒,54.72%,20.13%,25.00%,23.77%,0.129,0.608,0.607,0.741,1.662,35.84%,0.642,0.05%,37.54%,0.231,0.560,126,44,0.426,0.265,0.176,"2024/01/16,2024/02/07"
2024_1_origin_py/76.基金溢价（模拟效果好！）,2023-09-01,2026-02-21,200000,20分42秒,1591.04%,228.12%,1266.24%,23.77%,2.219,0.417,7.809,0.689,2.889,12.00%,15.814,0.46%,18.11%,6.628,0.555,182,82,7.394,0.287,0.176,"2025/03/12,2025/04/07"
2024_1_origin_py/79.SVR选股的小市值策略,2023-09-01,2026-02-21,200000,01分30秒,81.77%,28.54%,28.22%,41.76%,0.160,0.727,0.769,0.621,2.055,41.29%,1.015,0.05%,28.67%,0.274,0.528,41,25,0.498,0.319,0.283,"2023/12/21,2024/02/07"
2024_1_origin_py/8.科技与狠活,2023-09-01,2026-02-21,200000,02分19秒,142.35%,45.05%,67.59%,44.61%,0.308,0.802,1.056,0.613,2.581,45.86%,1.290,0.11%,46.35%,0.595,0.539,138,87,0.825,0.389,0.236,"2024/01/16,2024/02/07"
2024_1_origin_py/80.【深度解析 一】经典小市值模型,2023-09-01,2026-02-21,200000,,96.71%,32.88%,58.93%,23.77%,0.277,0.221,1.872,0.762,2.989,13.02%,2.778,0.09%,23.29%,0.868,0.518,128,40,1.160,0.154,0.176,"2025/03/19,2025/04/07"
2024_1_origin_py/82.实盘模拟的小盘股策略，低频，带基本面优化以及个股风控,2023-09-01,2026-02-21,200000,07分37秒,47.09%,17.60%,18.84%,23.77%,0.116,0.375,0.613,0.615,1.783,24.89%,0.791,0.04%,29.71%,0.148,0.519,59,37,0.344,0.222,0.176,"2024/01/02,2024/02/07"
2024_1_origin_py/85.【深度解析 七】BBI指标-大盘涨跌-宽基轮动模型,2023-09-01,2026-02-21,200000,01分30秒,62.00%,22.47%,30.89%,23.77%,0.126,1.089,0.675,0.427,1.280,18.45%,1.581,0.05%,14.15%,0.413,0.476,159,213,0.667,0.274,0.176,"2024/05/06,2024/09/23"
2024_1_origin_py/70.致敬市场(12)——赚钱的策略,2023-09-01,2026-02-21,200000,00分47秒,6.36%,2.63%,-14.07%,23.77%,-0.023,0.181,-0.387,0.167,0.306,3.52%,-0.509,-0.02%,28.25%,-0.705,0.504,2,10,-0.466,0.035,0.176,"2024/10/08,2025/04/07"
2024_1_origin_py/86.根据连续亏损预判st股票,2023-09-01,2026-02-21,200000,09分40秒,0.00%,0.00%,-19.21%,23.77%,-0.040,0.000,0.000,0.000,0.000,0.00%,0.000,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0.000,0.176,"2023/09/01,2023/09/01"
2024_1_origin_py/87.山寨红利,2023-09-01,2026-02-21,200000,00分39秒,19.86%,7.91%,-0.32%,20.25%,0.004,0.863,0.228,0.557,2.088,22.34%,0.296,0.00%,20.55%,-0.370,0.499,83,66,-0.013,0.171,0.153,"2024/05/21,2024/09/13"
2024_1_origin_py/88.韶华研究之十六，指数增强,2023-09-01,2026-02-21,200000,10分17秒,27.05%,10.58%,-11.96%,44.32%,-0.058,0.982,0.179,0.471,1.161,44.07%,0.314,-0.01%,45.14%,-0.324,0.464,171,192,-0.214,0.367,0.236,"2023/11/09,2024/09/13"
2024_1_origin_py/9.持仓95只大容量小市值，媲美金元顺安元启,2023-09-01,2026-02-21,200000,01分08秒,83.19%,28.96%,26.68%,44.61%,0.179,0.555,1.207,0.697,4.034,27.66%,1.393,0.05%,27.24%,0.343,0.563,605,263,0.638,0.207,0.236,"2024/01/04,2024/02/07"
2024_1_origin_py/94.大市值小市值今年的一些分析，然后尝试预测小市值行情,2023-09-01,2026-02-21,200000,00分29秒,0.00%,0.00%,-19.21%,23.77%,-0.040,0.000,0.000,0.000,0.000,0.00%,0.000,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0.000,0.176,"2023/09/01,2023/09/01"
2024_1_origin_py/95.基金的最爱与最恶,2023-09-01,2026-02-21,200000,00分32秒,0.00%,0.00%,-19.21%,23.77%,-0.040,0.000,0.000,0.000,0.000,0.00%,0.000,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0.000,0.176,"2023/09/01,2023/09/01"
2024_1_origin_py/96.大盘预测器v1.1--引入世界数据,2023-09-01,2026-02-21,200000,01分08秒,0.00%,0.00%,-19.21%,23.77%,-0.040,0.000,0.000,0.000,0.000,0.00%,0.000,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0.000,0.176,"2023/09/01,2023/09/01"
2024_1_origin_py/97.大周期顶底判断：FED指标+格雷厄姆指数一次搞定,2023-09-01,2026-02-21,200000,00分59秒,0.00%,0.00%,-19.21%,23.77%,-0.040,0.000,0.000,0.000,0.000,0.00%,0.000,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0.000,0.176,"2023/09/01,2023/09/01"
