策略名称,回测开始,回测结束,本金,原因
2024_2_origin_py/100.【复现】金股组合增强—分析师推荐概率,2023-09-01,2026-02-21,200000,回测失败
2024_2_origin_py/16.ETF轮动策略升级-多类别-低回撤,2023-09-01,2026-02-21,200000,回测失败
2024_2_origin_py/19.【复现】高频价量相关性，意想不到的选股因子,2023-09-01,2026-02-21,200000,回测失败
2024_2_origin_py/20.【复现】因子择时？？？,2023-09-01,2026-02-21,200000,回测失败
2024_2_origin_py/25.年初至今4倍，极致的Day Trading，56.8%胜率,2023-09-01,2026-02-21,200000,回测失败
2024_2_origin_py/29.【策略.行业轮动】趋势-拥挤-景气度模型看行业轮动,2023-09-01,2026-02-21,200000,回测失败
"2024_2_origin_py/32.追高概率涨停策略, 2022年化350%",2023-09-01,2026-02-21,200000,进程占用内存过大(3.0 GB), 被强制杀掉
2024_2_origin_py/34.【回撤二波2.0】透过一次过拟合的机器学习摸底策略的收益上限,2023-09-01,2026-02-21,200000,回测失败
2024_2_origin_py/38.ETF动量轮动RSRS择时-魔改3-北向资金择时-再优化,2023-09-01,2026-02-21,200000,回测失败
2024_2_origin_py/4.集合竞价摸奖策略1.0-致敬2022,2023-09-01,2026-02-21,200000,已取消
2024_2_origin_py/43.ETF动量因子评估,2023-09-01,2026-02-21,200000,回测失败
2024_2_origin_py/45.真真正正的诚意之作-2021超十倍,2023-09-01,2026-02-21,200000,已取消
2024_2_origin_py/46.韶华研究之十二--还算可以的竞价研究,2023-09-01,2026-02-21,200000,已取消2024_2_origin_py/49.修改成一创版本,2023-09-01,2026-02-21,200000,回测失败
2024_2_origin_py/5.随机森林策略，低换手率，年化近50%,2023-09-01,2026-02-21,200000,回测失败
2024_2_origin_py/55.【复现】技术指标形态识别,2023-09-01,2026-02-21,200000,回测失败
2024_2_origin_py/58.ETF动量轮动RSRS与北上择时-股债平衡-盘中止损,2023-09-01,2026-02-21,200000,回测失败
2024_2_origin_py/63.生猪期货CTA策略,2023-09-01,2026-02-21,200000,回测失败
2024_2_origin_py/75.ETF轮动策略-入门2.0,2023-09-01,2026-02-21,200000,回测失败
2024_2_origin_py/79.实盘一周50%的妖股探测器,2023-09-01,2026-02-21,200000,回测失败
2024_2_origin_py/80.短线策略-2022年两个半月收益45%-无未来函数,2023-09-01,2026-02-21,200000,回测失败
2024_2_origin_py/85.价值策略重开，再次向Jqz1226致敬,2023-09-01,2026-02-21,200000,回测失败