日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2023-09-01,10:00:00,基金,银华日利(511880.XSHG),买,市价单,1900股,101.278,192428.2,1900股,-,0,0,全部成交,2023-09-01 10:00:00
2023-09-01,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1800股,101.3,-182340,-1800股,-,39.6,0,全部成交,2023-09-01 14:00:00
2023-09-04,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1700股,101.301,172211.7,1700股,-,0,0,全部成交,2023-09-04 14:00:00
2023-09-05,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1600股,101.296,-162073.6,-1600股,-,-5.96,0,全部成交,2023-09-05 14:00:00
2023-09-06,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1500股,101.294,151941,1500股,-,0,0,全部成交,2023-09-06 14:00:00
2023-09-07,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1400股,101.298,-141817.2,-1400股,-,4.66,0,全部成交,2023-09-07 14:00:00
2023-09-08,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1300股,101.312,131705.6,1300股,-,0,0,全部成交,2023-09-08 14:00:00
2023-09-11,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1200股,101.314,-121576.8,-1200股,-,6.3,0,全部成交,2023-09-11 14:00:00
2023-09-12,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1100股,101.317,111448.7,1100股,-,0,0,全部成交,2023-09-12 14:00:00
2023-09-13,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1000股,101.332,-101332,-1000股,-,17.2,0,全部成交,2023-09-13 14:00:00
2023-09-14,14:00:00,基金,银华日利(511880.XSHG),买,市价单,900股,101.325,91192.5,900股,-,0,0,全部成交,2023-09-14 14:00:00
2023-09-15,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-800股,101.338,-81070.4,-800股,-,13.31,0,全部成交,2023-09-15 14:00:00
2023-09-18,14:00:00,基金,银华日利(511880.XSHG),买,市价单,700股,101.338,70936.6,700股,-,0,0,全部成交,2023-09-18 14:00:00
2023-09-19,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-600股,101.341,-60804.6,-600股,-,6.41,0,全部成交,2023-09-19 14:00:00
2023-09-20,14:00:00,基金,银华日利(511880.XSHG),买,市价单,500股,101.341,50670.5,500股,-,0,0,全部成交,2023-09-20 14:00:00
2023-09-21,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-400股,101.341,-40536.4,-400股,-,2.49,0,全部成交,2023-09-21 14:00:00
2023-09-22,14:00:00,基金,银华日利(511880.XSHG),买,市价单,300股,101.35,30405,300股,-,0,0,全部成交,2023-09-22 14:00:00
2023-09-25,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,101.364,-20272.8,-200股,-,5.02,0,全部成交,2023-09-25 14:00:00
2023-09-26,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-900股,101.367,-91230.3,-900股,-,25.27,0,全部成交,2023-09-26 10:00:00
2023-09-26,10:00:00,股票,日久光电(003015.XSHE),买,市价单,8800股,11.36,99968,8800股,-,0,24.99,全部成交,2023-09-26 10:00:00
2023-09-26,10:00:00,股票,双环传动(002472.XSHE),买,市价单,3300股,30.12,99396,3300股,-,0,24.85,全部成交,2023-09-26 10:00:00
2023-10-10,10:00:00,股票,日久光电(003015.XSHE),卖,市价单,-8800股,11.13,-97944,-8800股,-,-2024,122.43,全部成交,2023-10-10 10:00:00
2023-10-10,10:00:00,股票,双环传动(002472.XSHE),卖,市价单,-3300股,27.53,-90849,-3300股,-,-8547,113.56,全部成交,2023-10-10 10:00:00
2023-10-10,10:00:00,基金,银华日利(511880.XSHG),买,市价单,1800股,101.467,182640.6,1800股,-,0,0,全部成交,2023-10-10 10:00:00
2023-10-10,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1700股,101.469,-172497.3,-1700股,-,3.4,0,全部成交,2023-10-10 14:00:00
2023-10-11,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1600股,101.476,162361.6,1600股,-,0,0,全部成交,2023-10-11 14:00:00
2023-10-12,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1500股,101.466,-152199,-1500股,-,-14.21,0,全部成交,2023-10-12 14:00:00
2023-10-13,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1400股,101.493,142090.2,1400股,-,0,0,全部成交,2023-10-13 14:00:00
2023-10-16,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1300股,101.492,-131939.6,-1300股,-,1.55,0,全部成交,2023-10-16 14:00:00
2023-10-17,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-300股,101.495,-30448.5,-300股,-,1.26,0,全部成交,2023-10-17 10:00:00
2023-10-17,10:00:00,股票,崇达技术(002815.XSHE),买,市价单,18300股,10.31,188673,18300股,-,0,47.17,全部成交,2023-10-17 10:00:00
2023-10-24,10:00:00,股票,崇达技术(002815.XSHE),卖,市价单,-18300股,9.72,-177876,-18300股,-,-10797,222.34,全部成交,2023-10-24 10:00:00
2023-10-24,10:00:00,基金,银华日利(511880.XSHG),买,市价单,1700股,101.527,172595.9,1700股,-,0,0,全部成交,2023-10-24 10:00:00
2023-10-24,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1600股,101.525,-162440,-1600股,-,-3.2,0,全部成交,2023-10-24 14:00:00
2023-10-25,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1500股,101.521,152281.5,1500股,-,0,0,全部成交,2023-10-25 14:00:00
2023-10-26,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1400股,101.521,-142129.4,-1400股,-,-0.53,0,全部成交,2023-10-26 14:00:00
2023-10-27,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1300股,101.528,131986.4,1300股,-,0,0,全部成交,2023-10-27 14:00:00
2023-10-30,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1200股,101.537,-121844.4,-1200股,-,11.86,0,全部成交,2023-10-30 14:00:00
2023-10-31,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1100股,101.548,111702.8,1100股,-,0,0,全部成交,2023-10-31 14:00:00
2023-11-01,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1000股,101.565,-101565,-1000股,-,21.47,0,全部成交,2023-11-01 14:00:00
2023-11-02,14:00:00,基金,银华日利(511880.XSHG),买,市价单,900股,101.575,91417.5,900股,-,0,0,全部成交,2023-11-02 14:00:00
2023-11-03,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-800股,101.578,-81262.4,-800股,-,10.15,0,全部成交,2023-11-03 14:00:00
2023-11-06,14:00:00,基金,银华日利(511880.XSHG),买,市价单,700股,101.567,71096.9,700股,-,0,0,全部成交,2023-11-06 14:00:00
2023-11-07,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-600股,101.583,-60949.8,-600股,-,10.02,0,全部成交,2023-11-07 14:00:00
2023-11-08,14:00:00,基金,银华日利(511880.XSHG),买,市价单,500股,101.591,50795.5,500股,-,0,0,全部成交,2023-11-08 14:00:00
2023-11-09,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-400股,101.593,-40637.2,-400股,-,6.19,0,全部成交,2023-11-09 14:00:00
2023-11-10,14:00:00,基金,银华日利(511880.XSHG),买,市价单,300股,101.606,30481.8,300股,-,0,0,全部成交,2023-11-10 14:00:00
2023-11-13,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,101.611,-20322.2,-200股,-,4.99,0,全部成交,2023-11-13 14:00:00
2023-11-14,14:00:00,基金,银华日利(511880.XSHG),买,市价单,100股,101.614,10161.4,100股,-,0,0,全部成交,2023-11-14 14:00:00
2024-01-23,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-900股,100.211,-90189.9,-900股,-,364.35,0,全部成交,2024-01-23 10:00:00
2024-01-30,10:00:00,基金,银华日利(511880.XSHG),买,市价单,1700股,100.247,170419.9,1700股,-,0,0,全部成交,2024-01-30 10:00:00
2024-02-01,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1600股,100.263,-160420.8,-1600股,-,25.6,0,全部成交,2024-02-01 14:00:00
2024-02-01,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1500股,100.263,150394.5,1500股,-,0,0,全部成交,2024-02-01 14:00:00
2024-02-02,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1400股,100.279,-140390.6,-1400股,-,23.8,0,全部成交,2024-02-02 14:00:00
2024-02-05,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1300股,100.281,130365.3,1300股,-,0,0,全部成交,2024-02-05 14:00:00
2024-02-06,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1500股,100.286,-150429,-1500股,-,11.3,0,全部成交,2024-02-06 10:00:00
2024-02-06,10:00:00,股票,精艺股份(002295.XSHE),买,市价单,6500股,4.52,29380,6500股,-,0,7.34,全部成交,2024-02-06 10:00:00
2024-02-06,10:00:00,股票,英派斯(002899.XSHE),买,市价单,3100股,9.51,29481,3100股,-,0,7.37,全部成交,2024-02-06 10:00:00
2024-02-06,10:00:00,股票,登云股份(002715.XSHE),买,市价单,3500股,8.49,29715,3500股,-,0,7.43,全部成交,2024-02-06 10:00:00
2024-02-06,10:00:00,股票,名雕股份(002830.XSHE),买,市价单,3300股,8.86,29238,3300股,-,0,7.31,全部成交,2024-02-06 10:00:00
2024-02-06,10:00:00,股票,联诚精密(002921.XSHE),买,市价单,3200股,9.29,29728,3200股,-,0,7.43,全部成交,2024-02-06 10:00:00
2024-02-06,10:00:00,股票,达意隆(002209.XSHE),买,市价单,4800股,6.17,29616,4800股,-,0,7.4,全部成交,2024-02-06 10:00:00
2024-02-08,10:00:00,股票,精艺股份(002295.XSHE),卖,市价单,-6500股,4.05,-26325,-6500股,-,-3055,32.91,全部成交,2024-02-08 10:00:00
2024-02-08,10:00:00,股票,登云股份(002715.XSHE),卖,市价单,-3500股,6.97,-24395,-3500股,-,-5320,30.49,全部成交,2024-02-08 10:00:00
2024-02-08,10:00:00,股票,名雕股份(002830.XSHE),卖,市价单,-0股,--,0,-3300股,-,0,0,已撤单,2024-02-08 10:00:00
2024-02-08,10:00:00,股票,联诚精密(002921.XSHE),卖,市价单,-3200股,8.45,-27040,-3200股,-,-2688,33.8,全部成交,2024-02-08 10:00:00
2024-02-08,10:00:00,股票,达意隆(002209.XSHE),卖,市价单,-4800股,5.59,-26832,-4800股,-,-2784,33.54,全部成交,2024-02-08 10:00:00
2024-02-08,14:00:00,基金,银华日利(511880.XSHG),买,市价单,200股,100.34,20068,200股,-,0,0,全部成交,2024-02-08 14:00:00
2024-02-08,14:00:00,基金,银华日利(511880.XSHG),买,市价单,600股,100.34,60204,600股,-,0,0,全部成交,2024-02-08 14:00:00
2024-02-19,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-500股,100.344,-50172,-500股,-,2,0,全部成交,2024-02-19 14:00:00
2024-02-20,10:00:00,股票,名雕股份(002830.XSHE),卖,市价单,-3300股,8.92,-29436,-3300股,-,198,36.8,全部成交,2024-02-20 10:00:00
2024-02-20,14:00:00,股票,英派斯(002899.XSHE),卖,市价单,-3100股,11.22,-34782,-3100股,-,5301,43.48,全部成交,2024-02-20 14:00:00
2024-02-20,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1000股,100.351,100351,1000股,-,0,0,全部成交,2024-02-20 14:00:00
2024-02-20,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-900股,100.351,-90315.9,-900股,-,2.28,0,全部成交,2024-02-20 14:00:00
2024-02-21,14:00:00,基金,银华日利(511880.XSHG),买,市价单,800股,100.352,80281.6,800股,-,0,0,全部成交,2024-02-21 14:00:00
2024-02-22,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-700股,100.355,-70248.5,-700股,-,2.93,0,全部成交,2024-02-22 14:00:00
2024-02-23,14:00:00,基金,银华日利(511880.XSHG),买,市价单,600股,100.369,60221.4,600股,-,0,0,全部成交,2024-02-23 14:00:00
2024-02-26,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-500股,100.376,-50188,-500股,-,7.63,0,全部成交,2024-02-26 14:00:00
2024-02-27,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-600股,100.383,-60229.8,-600股,-,13.36,0,全部成交,2024-02-27 10:00:00
2024-02-27,10:00:00,股票,二六三(002467.XSHE),买,市价单,34200股,4.97,169974,34200股,-,0,42.49,全部成交,2024-02-27 10:00:00
2024-02-29,10:00:00,股票,二六三(002467.XSHE),卖,市价单,-34200股,4.38,-149796,-34200股,-,-20178,187.24,全部成交,2024-02-29 10:00:00
2024-02-29,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1400股,100.378,140529.2,1400股,-,0,0,全部成交,2024-02-29 14:00:00
2024-02-29,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1300股,100.378,-130491.4,-1300股,-,0,0,全部成交,2024-02-29 14:00:00
2024-03-01,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1200股,100.41,120492,1200股,-,0,0,全部成交,2024-03-01 14:00:00
2024-03-04,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1100股,100.416,-110457.6,-1100股,-,9.31,0,全部成交,2024-03-04 14:00:00
2024-03-05,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,100.421,-20084.2,-200股,-,2.69,0,全部成交,2024-03-05 10:00:00
2024-03-05,10:00:00,股票,达意隆(002209.XSHE),买,市价单,8000股,9.32,74560,8000股,-,0,18.64,全部成交,2024-03-05 10:00:00
2024-03-05,10:00:00,股票,康盛股份(002418.XSHE),买,市价单,27600股,2.71,74796,27600股,-,0,18.7,全部成交,2024-03-05 10:00:00
2024-03-12,10:00:00,股票,达意隆(002209.XSHE),卖,市价单,-8000股,9.1,-72800,-8000股,-,-1760,91,全部成交,2024-03-12 10:00:00
2024-03-12,10:00:00,股票,康盛股份(002418.XSHE),卖,市价单,-27600股,2.61,-72036,-27600股,-,-2760,90.04,全部成交,2024-03-12 10:00:00
2024-03-12,10:00:00,基金,银华日利(511880.XSHG),买,市价单,1400股,100.448,140627.2,1400股,-,0,0,全部成交,2024-03-12 10:00:00
2024-03-12,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1300股,100.449,-130583.7,-1300股,-,1.3,0,全部成交,2024-03-12 14:00:00
2024-03-13,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1200股,100.448,120537.6,1200股,-,0,0,全部成交,2024-03-13 14:00:00
2024-03-14,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1100股,100.454,-110499.4,-1100股,-,6.6,0,全部成交,2024-03-14 14:00:00
2024-03-15,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1000股,100.479,100479,1000股,-,0,0,全部成交,2024-03-15 14:00:00
2024-03-18,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-900股,100.482,-90433.8,-900股,-,7.35,0,全部成交,2024-03-18 14:00:00
2024-03-19,14:00:00,基金,银华日利(511880.XSHG),买,市价单,800股,100.49,80392,800股,-,0,0,全部成交,2024-03-19 14:00:00
2024-03-20,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-700股,100.492,-70344.4,-700股,-,4.49,0,全部成交,2024-03-20 14:00:00
2024-03-21,14:00:00,基金,银华日利(511880.XSHG),买,市价单,600股,100.495,60297,600股,-,0,0,全部成交,2024-03-21 14:00:00
2024-03-22,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-500股,100.514,-50257,-500股,-,11.38,0,全部成交,2024-03-22 14:00:00
2024-03-25,14:00:00,基金,银华日利(511880.XSHG),买,市价单,400股,100.52,40208,400股,-,0,0,全部成交,2024-03-25 14:00:00
2024-03-26,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-300股,100.528,-30158.4,-300股,-,7.19,0,全部成交,2024-03-26 14:00:00
2024-03-27,14:00:00,基金,银华日利(511880.XSHG),买,市价单,200股,100.527,20105.4,200股,-,0,0,全部成交,2024-03-27 14:00:00
2024-03-28,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-100股,100.511,-10051.1,-100股,-,0.12,0,全部成交,2024-03-28 14:00:00
2024-04-17,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-700股,100.625,-70437.5,-700股,-,80.66,0,全部成交,2024-04-17 10:00:00
2024-04-23,10:00:00,基金,银华日利(511880.XSHG),买,市价单,1400股,100.654,140915.6,1400股,-,0,0,全部成交,2024-04-23 10:00:00
2024-04-30,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1300股,100.7,-130910,-1300股,-,59.8,0,全部成交,2024-04-30 10:00:00
2024-05-06,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1200股,100.707,120848.4,1200股,-,0,0,全部成交,2024-05-06 14:00:00
2024-05-06,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1100股,100.707,-110777.7,-1100股,-,4.48,0,全部成交,2024-05-06 14:00:00
2024-05-07,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1000股,100.713,100713,1000股,-,0,0,全部成交,2024-05-07 14:00:00
2024-05-08,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-900股,100.722,-90649.8,-900股,-,9.61,0,全部成交,2024-05-08 14:00:00
2024-05-09,14:00:00,基金,银华日利(511880.XSHG),买,市价单,800股,100.72,80576,800股,-,0,0,全部成交,2024-05-09 14:00:00
2024-05-10,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-700股,100.741,-70518.7,-700股,-,16.36,0,全部成交,2024-05-10 14:00:00
2024-05-13,14:00:00,基金,银华日利(511880.XSHG),买,市价单,600股,100.738,60442.8,600股,-,0,0,全部成交,2024-05-13 14:00:00
2024-05-14,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-500股,100.744,-50372,-500股,-,7.07,0,全部成交,2024-05-14 14:00:00
2024-05-15,14:00:00,基金,银华日利(511880.XSHG),买,市价单,400股,100.747,40298.8,400股,-,0,0,全部成交,2024-05-15 14:00:00
2024-05-16,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-300股,100.75,-30225,-300股,-,3.76,0,全部成交,2024-05-16 14:00:00
2024-05-17,14:00:00,基金,银华日利(511880.XSHG),买,市价单,200股,100.762,20152.4,200股,-,0,0,全部成交,2024-05-17 14:00:00
2024-05-20,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-100股,100.761,-10076.1,-100股,-,1.74,0,全部成交,2024-05-20 14:00:00
2024-06-04,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-700股,100.836,-70585.2,-700股,-,64.68,0,全部成交,2024-06-04 10:00:00
2024-06-04,10:00:00,股票,美邦服饰(002269.XSHE),买,市价单,61000股,1.19,72590,61000股,-,0,18.15,全部成交,2024-06-04 10:00:00
2024-06-04,10:00:00,股票,中公教育(002607.XSHE),买,市价单,38000股,1.91,72580,38000股,-,0,18.14,全部成交,2024-06-04 10:00:00
2024-06-06,10:00:00,股票,中公教育(002607.XSHE),卖,市价单,-38000股,1.71,-64980,-38000股,-,-7600,81.23,全部成交,2024-06-06 10:00:00
2024-06-06,14:00:00,基金,银华日利(511880.XSHG),买,市价单,600股,100.843,60505.8,600股,-,0,0,全部成交,2024-06-06 14:00:00
2024-06-06,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-500股,100.843,-50421.5,-500股,-,0,0,全部成交,2024-06-06 14:00:00
2024-06-07,14:00:00,基金,银华日利(511880.XSHG),买,市价单,400股,100.861,40344.4,400股,-,0,0,全部成交,2024-06-07 14:00:00
2024-06-11,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-300股,100.863,-30258.9,-300股,-,1.68,0,全部成交,2024-06-11 14:00:00
2024-06-12,10:00:00,股票,美邦服饰(002269.XSHE),卖,市价单,-61000股,1.18,-71980,-61000股,-,-610,89.98,全部成交,2024-06-12 10:00:00
2024-06-12,14:00:00,基金,银华日利(511880.XSHG),买,市价单,900股,100.864,90777.6,900股,-,0,0,全部成交,2024-06-12 14:00:00
2024-06-13,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-800股,100.866,-80692.8,-800股,-,2.56,0,全部成交,2024-06-13 14:00:00
2024-06-14,14:00:00,基金,银华日利(511880.XSHG),买,市价单,700股,100.874,70611.8,700股,-,0,0,全部成交,2024-06-14 14:00:00
2024-06-17,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-600股,100.882,-60529.2,-600股,-,6.82,0,全部成交,2024-06-17 14:00:00
2024-06-18,14:00:00,基金,银华日利(511880.XSHG),买,市价单,500股,100.887,50443.5,500股,-,0,0,全部成交,2024-06-18 14:00:00
2024-06-19,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-400股,100.894,-40357.6,-400股,-,5.71,0,全部成交,2024-06-19 14:00:00
2024-06-20,14:00:00,基金,银华日利(511880.XSHG),买,市价单,300股,100.893,30267.9,300股,-,0,0,全部成交,2024-06-20 14:00:00
2024-06-21,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,100.905,-20181,-200股,-,4.06,0,全部成交,2024-06-21 14:00:00
2024-06-24,14:00:00,基金,银华日利(511880.XSHG),买,市价单,100股,100.911,10091.1,100股,-,0,0,全部成交,2024-06-24 14:00:00
2024-06-25,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-700股,100.915,-70640.5,-700股,-,18.58,0,全部成交,2024-06-25 10:00:00
2024-06-25,10:00:00,股票,信隆健康(002105.XSHE),买,市价单,16200股,4.2,68040,16200股,-,0,17.01,全部成交,2024-06-25 10:00:00
2024-06-25,10:00:00,股票,思美传媒(002712.XSHE),买,市价单,18400股,3.7,68080,18400股,-,0,17.02,全部成交,2024-06-25 10:00:00
2024-06-26,10:00:00,股票,思美传媒(002712.XSHE),卖,市价单,-0股,--,0,-18400股,-,0,0,已撤单,2024-06-26 10:00:00
2024-07-02,10:00:00,股票,信隆健康(002105.XSHE),卖,市价单,-16200股,4.16,-67392,-16200股,-,-648,84.24,全部成交,2024-07-02 10:00:00
2024-07-02,10:00:00,股票,思美传媒(002712.XSHE),卖,市价单,-18400股,3.81,-70104,-18400股,-,2024,87.63,全部成交,2024-07-02 10:00:00
2024-07-02,10:00:00,基金,银华日利(511880.XSHG),买,市价单,1300股,100.952,131237.6,1300股,-,0,0,全部成交,2024-07-02 10:00:00
2024-07-02,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1200股,100.953,-121143.6,-1200股,-,1.2,0,全部成交,2024-07-02 14:00:00
2024-07-03,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1100股,100.958,111053.8,1100股,-,0,0,全部成交,2024-07-03 14:00:00
2024-07-04,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1000股,100.959,-100959,-1000股,-,1.5,0,全部成交,2024-07-04 14:00:00
2024-07-05,14:00:00,基金,银华日利(511880.XSHG),买,市价单,900股,100.968,90871.2,900股,-,0,0,全部成交,2024-07-05 14:00:00
2024-07-08,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-800股,100.97,-80776,-800股,-,3.13,0,全部成交,2024-07-08 14:00:00
2024-07-09,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-300股,100.972,-30291.6,-300股,-,1.77,0,全部成交,2024-07-09 10:00:00
2024-07-09,10:00:00,股票,特一药业(002728.XSHE),买,市价单,9500股,7.22,68590,9500股,-,0,17.15,全部成交,2024-07-09 10:00:00
2024-07-09,10:00:00,股票,建艺集团(002789.XSHE),买,市价单,8100股,8.42,68202,8100股,-,0,17.05,全部成交,2024-07-09 10:00:00
2024-07-11,14:00:00,股票,建艺集团(002789.XSHE),卖,市价单,-8100股,9.03,-73143,-8100股,-,4941,91.43,全部成交,2024-07-11 14:00:00
2024-07-11,14:00:00,股票,特一药业(002728.XSHE),买,市价单,200股,7.65,1530,200股,-,0,5,全部成交,2024-07-11 14:00:00
2024-07-11,14:00:00,基金,银华日利(511880.XSHG),买,市价单,700股,100.974,70681.8,700股,-,0,0,全部成交,2024-07-11 14:00:00
2024-07-12,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-600股,100.987,-60592.2,-600股,-,7.8,0,全部成交,2024-07-12 14:00:00
2024-07-15,14:00:00,基金,银华日利(511880.XSHG),买,市价单,500股,100.994,50497,500股,-,0,0,全部成交,2024-07-15 14:00:00
2024-07-16,10:00:00,股票,特一药业(002728.XSHE),卖,市价单,-9700股,7.48,-72556,-9700股,-,2436,90.7,全部成交,2024-07-16 10:00:00
2024-07-16,14:00:00,基金,银华日利(511880.XSHG),买,市价单,200股,100.997,20199.4,200股,-,0,0,全部成交,2024-07-16 14:00:00
2024-07-17,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-100股,100.999,-10099.9,-100股,-,0.67,0,全部成交,2024-07-17 14:00:00
2024-08-20,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-700股,101.124,-70786.8,-700股,-,92.23,0,全部成交,2024-08-20 10:00:00
2024-08-20,10:00:00,股票,亚世光电(002952.XSHE),买,市价单,6500股,22.28,144820,6500股,-,0,36.2,全部成交,2024-08-20 10:00:00
