策略名称,回测开始,回测结束,本金,回测耗时,策略收益,策略年化收益,超额收益,基准收益,阿尔法,贝塔,夏普比率,胜率,盈亏比,最大回撤,索提诺比率,日均超额收益,超额收益最大回撤,超额收益夏普比率,日胜率,盈利次数,亏损次数,信息比率,策略波动率,基准波动率,最大回撤区间,综合分,夏普分,回撤分,信息比率分,年化分,胜率分,盈亏比分,交易次数分,阿尔法分,索提诺分,下单时段分,打分细节
2025_origin_py/3、5年15倍的收益，年化79.93，可实盘，拿走不谢！,2023/9/1,2026/2/21,200000,12分52秒,118.72%,38.94%,76.71%,23.77%,0.299,0.94,0.856,0.661,2.694,49.63%,0.984,0.12%,49.90%,0.617,0.566,84,43,0.791,0.408,0.176,"2024/01/04,2024/02/07",43.0,39,30,45,35,92,90,82,50,30,0,夏普:39 回撤:30 信息比率:45 年化:35 胜率:92 盈亏比:90 交易次数:82 阿尔法:50 索提诺:30 下单时段:0
2025_origin_py/80基本面01加RSI择时,2023/9/1,2026/2/21,200000,,117.98%,38.74%,76.11%,23.77%,0.309,0.711,1.005,0.659,2.787,47.52%,1.148,0.12%,47.47%,0.701,0.55,141,73,0.901,0.345,0.176,"2024/01/04,2024/02/07",46.0,45,30,45,35,92,90,92,50,55,0,夏普:45 回撤:30 信息比率:45 年化:35 胜率:92 盈亏比:90 交易次数:92 阿尔法:50 索提诺:55 下单时段:0
2025_origin_py/69“稳定摸狗策略”学习笔记,2023/9/1,2026/2/21,200000,00分15秒,116.02%,38.21%,74.53%,23.77%,0.303,0.735,1.265,0.52,2.412,19.97%,1.726,0.11%,17.03%,0.929,0.518,26,24,1.19,0.271,0.176,"2024/10/08,2024/11/18",56.9,56,78,65,35,72,80,60,50,72,0,夏普:56 回撤:78 信息比率:65 年化:35 胜率:72 盈亏比:80 交易次数:60 阿尔法:50 索提诺:72 下单时段:0
2025_origin_py/14安全摸狗策略,2023/9/1,2026/2/21,200000,,116.02%,38.21%,74.53%,23.77%,0.303,0.735,1.264,0.489,2.41,19.98%,1.725,0.11%,17.04%,0.929,0.519,23,24,1.19,0.271,0.176,"2024/10/08,2024/11/18",55.3,56,78,65,35,60,80,45,50,72,0,夏普:56 回撤:78 信息比率:65 年化:35 胜率:60 盈亏比:80 交易次数:45 阿尔法:50 索提诺:72 下单时段:0
2024_2_origin_py/22.菜场大妈选股法,2023/9/1,2026/2/21,200000,01分38秒,115.84%,38.16%,49.26%,44.61%,0.251,0.71,1.058,0.742,4.835,39.19%,1.284,0.08%,38.17%,0.508,0.56,69,24,0.752,0.323,0.236,"2024/01/04,2024/02/07",48.6,47,45,45,35,88,100,72,50,55,0,夏普:47 回撤:45 信息比率:45 年化:35 胜率:88 盈亏比:100 交易次数:72 阿尔法:50 索提诺:55 下单时段:0
2025_origin_py/63.5年12倍-小市值,2023/9/1,2026/2/21,200000,04分55秒,113.55%,37.54%,47.67%,44.61%,0.221,0.896,0.982,0.566,1.838,37.61%,1.209,0.08%,36.98%,0.515,0.543,211,162,0.772,0.342,0.236,"2023/09/04,2024/02/07",46.5,44,45,45,35,82,65,100,50,55,0,夏普:44 回撤:45 信息比率:45 年化:35 胜率:82 盈亏比:65 交易次数:100 阿尔法:50 索提诺:55 下单时段:0
2025_origin_py/10.10年52倍，年化59，全新因子方法超稳定,2023/9/1,2026/2/21,200000,01分40秒,111.84%,37.08%,46.49%,44.61%,0.257,0.581,0.984,0.638,1.837,43.84%,1.268,0.08%,44.31%,0.419,0.508,60,34,0.63,0.336,0.236,"2024/01/18,2024/02/07",43.0,44,30,45,35,88,65,72,50,55,0,夏普:44 回撤:30 信息比率:45 年化:35 胜率:88 盈亏比:65 交易次数:72 阿尔法:50 索提诺:55 下单时段:0
2024_2_origin_py/14.为实盘做的更新：分钟级别和盘中止损,2023/9/1,2026/2/21,200000,07分46秒,107.18%,35.80%,67.38%,23.77%,0.284,0.642,1.193,0.523,1.675,22.15%,1.581,0.10%,22.57%,0.807,0.55,190,173,1.059,0.267,0.176,"2024/01/02,2024/02/07",64.8,53,65,65,35,72,65,100,50,72,100,夏普:53 回撤:65 信息比率:65 年化:35 胜率:72 盈亏比:65 交易次数:100 阿尔法:50 索提诺:72 下单时段:100
2025_origin_py/42国九条：三年分红5千万以下且占净利润30以下将被ST,2023/9/1,2026/2/21,200000,03分28秒,106.05%,35.50%,57.48%,30.84%,0.241,0.933,1.173,0.572,1.849,25.71%,1.506,0.09%,22.47%,0.764,0.528,171,128,1.057,0.268,0.161,"2024/04/03,2024/07/24",63.1,52,55,65,35,82,65,92,50,72,100,夏普:52 回撤:55 信息比率:65 年化:35 胜率:82 盈亏比:65 交易次数:92 阿尔法:50 索提诺:72 下单时段:100
2024_1_origin_py/17.5年超额收益1055%，K线处理大阴线，无未来,2023/9/1,2026/2/21,200000,01分18秒,105.69%,35.39%,42.24%,44.61%,0.209,0.826,0.982,0.564,2.009,39.50%,1.276,0.07%,41.72%,0.467,0.533,62,48,0.726,0.32,0.236,"2024/01/18,2024/06/06",46.6,44,45,45,35,82,80,82,50,55,0,夏普:44 回撤:45 信息比率:45 年化:35 胜率:82 盈亏比:80 交易次数:82 阿尔法:50 索提诺:55 下单时段:0
2024_2_origin_py/74.【动量应用V1】12年120倍，根据研报思路调整,2023/9/1,2026/2/21,200000,01分47秒,101.87%,34.33%,39.60%,44.61%,0.186,0.923,0.863,0.658,2.092,43.31%,1.008,0.07%,42.38%,0.403,0.571,225,117,0.637,0.351,0.236,"2024/01/15,2024/02/07",54.3,40,30,45,35,92,80,100,48,55,100,夏普:40 回撤:30 信息比率:45 年化:35 胜率:92 盈亏比:80 交易次数:100 阿尔法:48 索提诺:55 下单时段:100
2024_2_origin_py/35.自适应量化终极算法2.0 （全新升级),2023/9/1,2026/2/21,200000,381分03秒,101.24%,34.16%,62.58%,23.77%,0.266,0.657,1.092,0.562,1.786,31.81%,1.507,0.10%,36.46%,0.723,0.534,172,134,0.961,0.276,0.176,"2024/01/04,2024/06/06",58.3,49,45,45,35,82,65,100,50,72,100,夏普:49 回撤:45 信息比率:45 年化:35 胜率:82 盈亏比:65 交易次数:100 阿尔法:50 索提诺:72 下单时段:100
2024_1_origin_py/26.【深度解析 六】高股息率-低PEG-低股价 模型,2023/9/1,2026/2/21,200000,02分34秒,99.25%,33.60%,60.98%,23.77%,0.253,0.793,0.982,0.716,3.578,41.57%,1.151,0.09%,41.23%,0.674,0.587,154,61,0.898,0.301,0.176,"2023/11/22,2024/02/07",56.1,44,30,45,35,88,100,92,50,55,100,夏普:44 回撤:30 信息比率:45 年化:35 胜率:88 盈亏比:100 交易次数:92 阿尔法:50 索提诺:55 下单时段:100
2024_2_origin_py/42.实盘出现的问题和解决办法,2023/9/1,2026/2/21,200000,09分07秒,98.74%,33.45%,60.57%,23.77%,0.258,0.675,1.04,0.525,1.804,28.46%,1.391,0.09%,28.53%,0.684,0.543,160,145,0.914,0.283,0.176,"2024/01/02,2024/02/07",58.1,47,55,45,35,72,65,100,50,55,100,夏普:47 回撤:55 信息比率:45 年化:35 胜率:72 盈亏比:65 交易次数:100 阿尔法:50 索提诺:55 下单时段:100
2025_origin_py/81搞市场最靓的仔！指数ETF动量轮动策略-2,2023/9/1,2026/2/21,200000,00分25秒,96.75%,32.89%,58.96%,23.77%,0.224,1.202,0.765,0.507,1.952,33.75%,1.066,0.10%,23.42%,0.56,0.524,34,33,0.746,0.378,0.176,"2024/10/08,2025/04/07",52.0,36,45,45,35,72,65,60,50,55,100,夏普:36 回撤:45 信息比率:45 年化:35 胜率:72 盈亏比:65 交易次数:60 阿尔法:50 索提诺:55 下单时段:100
2025_origin_py/75大市值价值投资优化一波,2023/9/1,2026/2/21,200000,00分24秒,96.20%,32.74%,58.52%,23.77%,0.255,0.6,1.087,0.619,4.035,22.93%,1.503,0.09%,36.95%,0.686,0.499,13,8,0.925,0.264,0.176,"2025/01/17,2026/02/13",51.3,48,65,45,35,88,100,30,50,72,0,夏普:48 回撤:65 信息比率:45 年化:35 胜率:88 盈亏比:100 交易次数:30 阿尔法:50 索提诺:72 下单时段:0
2025_origin_py/74趋势筛选后相关性最小etf轮动,2023/9/1,2026/2/21,200000,26分20秒,96.08%,32.70%,58.42%,23.77%,0.283,0.084,1.219,0.537,2.865,16.38%,1.45,0.09%,30.84%,0.61,0.538,22,19,0.818,0.236,0.176,"2026/01/29,2026/02/02",63.0,54,78,45,35,72,90,45,50,55,100,夏普:54 回撤:78 信息比率:45 年化:35 胜率:72 盈亏比:90 交易次数:45 阿尔法:50 索提诺:55 下单时段:100
2025_origin_py/97趋势筛选后相关性最小etf轮动-加速10倍版,2023/9/1,2026/2/21,200000,,96.08%,32.70%,58.42%,23.77%,0.283,0.084,1.219,0.537,2.865,16.38%,1.45,0.09%,30.84%,0.61,0.538,22,19,0.818,0.236,0.176,"2026/01/29,2026/02/02",63.0,54,78,45,35,72,90,45,50,55,100,夏普:54 回撤:78 信息比率:45 年化:35 胜率:72 盈亏比:90 交易次数:45 阿尔法:50 索提诺:55 下单时段:100
2024_1_origin_py/3.【回顾3】ETF策略之核心资产轮动,2023/9/1,2026/2/21,200000,00分22秒,95.66%,32.58%,58.08%,23.77%,0.236,0.921,0.927,0.559,3.023,28.50%,1.181,0.09%,23.72%,0.657,0.531,19,15,0.883,0.308,0.176,"2024/10/08,2024/11/18",47.5,42,55,45,35,82,100,45,50,55,0,夏普:42 回撤:55 信息比率:45 年化:35 胜率:82 盈亏比:100 交易次数:45 阿尔法:50 索提诺:55 下单时段:0
2024_2_origin_py/12.全市场选股？7年5倍不择时，回撤30%左右,2023/9/1,2026/2/21,200000,00分49秒,91.32%,31.34%,35.84%,40.84%,0.167,0.929,1.054,0.656,3.517,29.86%,1.37,0.06%,14.80%,0.563,0.518,59,31,0.92,0.259,0.209,"2023/11/21,2024/02/05",60.4,47,55,45,35,92,100,72,46,55,100,夏普:47 回撤:55 信息比率:45 年化:35 胜率:92 盈亏比:100 交易次数:72 阿尔法:46 索提诺:55 下单时段:100
2024_2_origin_py/15.高股息低杠杆小市值轮动策略,2023/9/1,2026/2/21,200000,02分33秒,90.85%,31.20%,31.97%,44.61%,0.161,0.867,0.728,0.681,2.823,48.83%,0.853,0.07%,46.72%,0.268,0.539,98,46,0.46,0.374,0.236,"2024/01/04,2024/02/07",41.4,34,30,43,35,92,90,82,45,30,0,夏普:34 回撤:30 信息比率:43 年化:35 胜率:92 盈亏比:90 交易次数:82 阿尔法:45 索提诺:30 下单时段:0
2024_2_origin_py/39.绩优小市值量化君也-模拟交易年化333.75%,2023/9/1,2026/2/21,200000,01分53秒,90.56%,31.12%,31.78%,44.61%,0.15,0.95,0.772,0.596,1.986,40.94%,0.918,0.06%,38.63%,0.306,0.543,121,82,0.53,0.351,0.236,"2024/01/02,2024/02/07",50.2,36,30,45,35,82,65,92,44,30,100,夏普:36 回撤:30 信息比率:45 年化:35 胜率:82 盈亏比:65 交易次数:92 阿尔法:44 索提诺:30 下单时段:100
"2025_origin_py/35【菜场大妈】股息率小市值策略,10年206倍,5年10.8倍",2023/9/1,2026/2/21,200000,01分29秒,88.33%,30.47%,30.24%,44.61%,0.176,0.695,0.769,0.688,2.549,41.92%,0.998,0.06%,40.85%,0.25,0.534,53,24,0.441,0.344,0.236,"2023/11/28,2024/02/07",40.7,36,30,42,35,92,90,60,47,30,0,夏普:36 回撤:30 信息比率:42 年化:35 胜率:92 盈亏比:90 交易次数:60 阿尔法:47 索提诺:30 下单时段:0
2025_origin_py/22带上止损的核心资产轮动才更安心，低回撤，高收益率,2023/9/1,2026/2/21,200000,,88.13%,30.41%,52.00%,23.77%,0.221,0.806,0.905,0.513,2.499,25.91%,1.128,0.08%,21.20%,0.593,0.534,20,19,0.817,0.292,0.176,"2024/10/08,2024/11/18",45.4,41,55,45,35,72,80,45,50,55,0,夏普:41 回撤:55 信息比率:45 年化:35 胜率:72 盈亏比:80 交易次数:45 阿尔法:50 索提诺:55 下单时段:0
2025_origin_py/38ETF策略之核心资产轮动（线性增加权重）,2023/9/1,2026/2/21,200000,00分14秒,87.70%,30.29%,51.65%,23.77%,0.214,0.918,0.855,0.528,2.351,30.65%,1.088,0.08%,25.40%,0.579,0.526,19,17,0.798,0.307,0.176,"2024/10/08,2024/11/18",43.1,39,45,45,35,72,80,45,50,55,0,夏普:39 回撤:45 信息比率:45 年化:35 胜率:72 盈亏比:80 交易次数:45 阿尔法:50 索提诺:55 下单时段:0
2024_1_origin_py/31.动量因子加RSRS择时和ETF轮动每日调仓,2023/9/1,2026/2/21,200000,00分23秒,87.10%,30.11%,51.16%,23.77%,0.21,0.952,0.864,0.545,2.524,26.95%,1.12,0.08%,21.30%,0.596,0.524,24,20,0.823,0.302,0.176,"2024/10/08,2024/11/18",55.6,40,55,45,35,72,90,45,50,55,100,夏普:40 回撤:55 信息比率:45 年化:35 胜率:72 盈亏比:90 交易次数:45 阿尔法:50 索提诺:55 下单时段:100
2024_1_origin_py/20.有赚就好-小市值剥头皮改进 2年3.86%回撤,2023/9/1,2026/2/21,200000,18分21秒,83.22%,28.97%,29.24%,41.76%,0.231,0.156,2.025,0.638,2.219,15.10%,2.657,0.06%,37.41%,0.279,0.511,422,239,0.497,0.123,0.283,"2024/03/20,2024/09/06",63.6,80,78,45,35,88,80,100,50,92,0,夏普:80 回撤:78 信息比率:45 年化:35 胜率:88 盈亏比:80 交易次数:100 阿尔法:50 索提诺:92 下单时段:0
2024_2_origin_py/64.ETF轮动策略升级-增加盘中止损,2023/9/1,2026/2/21,200000,01分31秒,81.58%,28.49%,46.70%,23.77%,0.2,0.835,0.556,0.442,1.471,42.34%,0.765,0.10%,45.94%,0.324,0.494,114,144,0.459,0.44,0.176,"2026/01/29,2026/02/11",44.3,27,30,43,35,45,45,92,50,30,100,夏普:27 回撤:30 信息比率:43 年化:35 胜率:45 盈亏比:45 交易次数:92 阿尔法:50 索提诺:30 下单时段:100
2025_origin_py/65搭建量化交易模型从零开始——择时，选股，仓位管理和因子分析,2023/9/1,2026/2/21,200000,77分06秒,80.84%,28.26%,25.05%,44.61%,0.18,0.492,1.346,0.399,2.893,18.70%,1.895,0.04%,19.20%,0.325,0.555,101,152,0.629,0.18,0.236,"2024/01/04,2024/02/07",63.9,59,78,45,35,30,90,92,48,72,100,夏普:59 回撤:78 信息比率:45 年化:35 胜率:30 盈亏比:90 交易次数:92 阿尔法:48 索提诺:72 下单时段:100
2024_2_origin_py/24.宽基ETF动量轮动钝化RSRS择时-回撤小,2023/9/1,2026/2/21,200000,08分19秒,79.89%,27.98%,45.34%,23.77%,0.19,0.933,0.99,0.571,2.717,18.90%,1.707,0.07%,14.84%,0.738,0.516,24,18,1.042,0.242,0.176,"2024/10/08,2025/05/28",65.0,45,78,65,35,82,90,45,49,72,100,夏普:45 回撤:78 信息比率:65 年化:35 胜率:82 盈亏比:90 交易次数:45 阿尔法:49 索提诺:72 下单时段:100
2025_origin_py/94别人“拿的住”的股票最赚钱,2023/9/1,2026/2/21,200000,08分01秒,78.27%,27.50%,44.03%,23.77%,0.186,0.902,1.078,0.593,2.271,23.10%,1.556,0.07%,17.48%,0.837,0.509,112,77,1.203,0.218,0.176,"2024/11/11,2025/04/08",64.8,48,65,65,35,82,80,88,48,72,100,夏普:48 回撤:65 信息比率:65 年化:35 胜率:82 盈亏比:80 交易次数:88 阿尔法:48 索提诺:72 下单时段:100
2025_origin_py/26波动率过滤后相关性最小etf轮动,2023/9/1,2026/2/21,200000,00分38秒,77.88%,27.38%,43.71%,23.77%,0.226,0.137,0.975,0.459,2.183,20.97%,1.159,0.08%,32.69%,0.442,0.534,17,20,0.637,0.24,0.176,"2024/07/09,2024/11/18",56.9,44,65,45,35,60,80,45,50,55,100,夏普:44 回撤:65 信息比率:45 年化:35 胜率:60 盈亏比:80 交易次数:45 阿尔法:50 索提诺:55 下单时段:100
2025_origin_py/12用子账户模拟多策略分仓,2023/9/1,2026/2/21,200000,30分24秒,76.33%,26.91%,42.46%,23.77%,0.185,0.818,1.016,0.559,2.055,15.20%,1.426,0.07%,16.30%,0.681,0.548,99,78,0.992,0.226,0.176,"2024/01/15,2024/02/05",53.1,46,78,45,35,82,80,88,48,55,0,夏普:46 回撤:78 信息比率:45 年化:35 胜率:82 盈亏比:80 交易次数:88 阿尔法:48 索提诺:55 下单时段:0
2025_origin_py/45此消彼长,2023/9/1,2026/2/21,200000,03分17秒,76.15%,26.86%,24.25%,41.76%,0.159,0.589,0.991,0.566,2.145,22.66%,1.306,0.04%,38.14%,0.282,0.501,56,43,0.56,0.231,0.283,"2024/01/26,2024/02/07",59.6,45,65,45,35,82,80,72,45,55,100,夏普:45 回撤:65 信息比率:45 年化:35 胜率:82 盈亏比:80 交易次数:72 阿尔法:45 索提诺:55 下单时段:100
2025_origin_py/11低风险中等收益策略,2023/9/1,2026/2/21,200000,04分06秒,76.01%,26.81%,42.20%,23.77%,0.214,0.258,2.12,0.698,4.071,7.42%,2.344,0.06%,22.72%,0.74,0.57,224,97,1.07,0.108,0.176,"2024/01/02,2024/02/07",81.4,82,97,65,35,92,100,100,50,85,100,夏普:82 回撤:97 信息比率:65 年化:35 胜率:92 盈亏比:100 交易次数:100 阿尔法:50 索提诺:85 下单时段:100
2025_origin_py/67大市值价投高股息爱国者策略（爱我中华）,2023/9/1,2026/2/21,200000,,71.55%,25.45%,28.71%,33.29%,0.177,0.426,1.304,0.779,4.961,12.33%,2.064,0.05%,18.57%,0.391,0.508,67,19,0.69,0.165,0.208,"2024/05/22,2024/09/13",58.8,57,88,45,35,75,100,72,47,85,0,夏普:57 回撤:88 信息比率:45 年化:35 胜率:75 盈亏比:100 交易次数:72 阿尔法:47 索提诺:85 下单时段:0
2025_origin_py/7追首板涨停 过去两年年化304%,2023/9/1,2026/2/21,200000,06分19秒,71.11%,25.32%,38.24%,23.77%,0.192,0.388,0.422,0.529,1.153,63.00%,0.661,0.11%,71.54%,0.206,0.501,109,97,0.311,0.506,0.176,"2024/06/06,2025/12/05",29.3,21,5,36,35,72,45,92,49,30,0,夏普:21 回撤:5 信息比率:36 年化:35 胜率:72 盈亏比:45 交易次数:92 阿尔法:49 索提诺:30 下单时段:0
2025_origin_py/82回报社区——基于Gyro老师策略的思考,2023/9/1,2026/2/21,200000,05分54秒,69.21%,24.73%,36.71%,23.77%,0.175,0.609,1.027,0.785,4.573,25.46%,1.214,0.06%,26.20%,0.547,0.565,830,227,0.833,0.202,0.176,"2023/11/23,2024/02/07",60.3,46,55,45,35,75,100,100,47,55,100,夏普:46 回撤:55 信息比率:45 年化:35 胜率:75 盈亏比:100 交易次数:100 阿尔法:47 索提诺:55 下单时段:100
2024_2_origin_py/1.一颗耀眼的星—【回顾2】小市值成长股策略更新—改,2023/9/1,2026/2/21,200000,,67.69%,24.26%,15.97%,44.61%,0.105,0.763,0.635,0.561,1.808,39.51%,0.74,0.04%,39.76%,0.091,0.526,125,98,0.278,0.319,0.236,"2024/01/16,2024/02/07",39.9,30,45,34,35,82,65,92,38,30,0,夏普:30 回撤:45 信息比率:34 年化:35 胜率:82 盈亏比:65 交易次数:92 阿尔法:38 索提诺:30 下单时段:0
2025_origin_py/78首板低开策略-终极版 最大回撤15%，年化50%,2023/9/1,2026/2/21,200000,21分58秒,67.45%,24.19%,35.29%,23.77%,0.2,0.031,0.672,0.606,1.385,34.82%,1.081,0.07%,44.99%,0.277,0.513,66,43,0.429,0.301,0.176,"2024/06/27,2025/01/08",41.6,32,45,41,35,88,45,82,50,55,0,夏普:32 回撤:45 信息比率:41 年化:35 胜率:88 盈亏比:45 交易次数:82 阿尔法:50 索提诺:55 下单时段:0
2025_origin_py/41SVR机器学习上证综指择时中小板财务选股策略,2023/9/1,2026/2/21,200000,03分16秒,66.18%,23.79%,34.26%,23.77%,0.168,0.564,0.842,0.546,1.628,19.99%,1.094,0.06%,27.28%,0.405,0.536,294,244,0.636,0.235,0.176,"2024/10/08,2025/01/06",50.3,39,78,45,35,72,65,100,46,55,0,夏普:39 回撤:78 信息比率:45 年化:35 胜率:72 盈亏比:65 交易次数:100 阿尔法:46 索提诺:55 下单时段:0
2024_2_origin_py/70.（股票交易模板）小市值-EPS-成长因子选股,2023/9/1,2026/2/21,200000,01分44秒,66.15%,23.78%,34.23%,23.77%,0.136,1.149,0.481,0.603,1.687,46.21%,0.595,0.08%,47.22%,0.255,0.545,47,31,0.401,0.411,0.176,"2024/01/15,2024/02/07",45.7,24,30,40,35,88,65,60,42,30,100,夏普:24 回撤:30 信息比率:40 年化:35 胜率:88 盈亏比:65 交易次数:60 阿尔法:42 索提诺:30 下单时段:100
2025_origin_py/31蛇皮走位小市值策略V1.0,2023/9/1,2026/2/21,200000,02分13秒,66.00%,23.73%,34.12%,23.77%,0.179,0.348,1.028,0.857,3.216,25.18%,1.311,0.06%,22.64%,0.427,0.521,108,18,0.668,0.192,0.176,"2024/12/02,2025/01/06",57.0,46,55,45,35,40,100,82,47,55,100,夏普:46 回撤:55 信息比率:45 年化:35 胜率:40 盈亏比:100 交易次数:82 阿尔法:47 索提诺:55 下单时段:100
2024_2_origin_py/95.首席质量因子-Gross Profitabilit（简化版）,2023/9/1,2026/2/21,200000,04分58秒,65.25%,23.50%,33.51%,23.77%,0.145,0.925,0.858,0.573,1.952,23.80%,1.217,0.05%,19.15%,0.56,0.519,231,172,0.887,0.227,0.176,"2024/05/20,2024/09/10",58.7,39,65,45,35,82,65,100,43,55,100,夏普:39 回撤:65 信息比率:45 年化:35 胜率:82 盈亏比:65 交易次数:100 阿尔法:43 索提诺:55 下单时段:100
2024_1_origin_py/12.致敬聚宽机器学习多因子50只持仓14年37倍,2023/9/1,2026/2/21,200000,26分32秒,65.09%,23.45%,33.38%,23.77%,0.145,0.928,0.79,0.58,2.2,24.25%,0.994,0.06%,23.56%,0.481,0.541,542,392,0.762,0.246,0.176,"2023/11/28,2024/02/05",57.9,37,65,45,35,82,80,100,43,30,100,夏普:37 回撤:65 信息比率:45 年化:35 胜率:82 盈亏比:80 交易次数:100 阿尔法:43 索提诺:30 下单时段:100
2025_origin_py/52机器学习滚动训练价投策略,2023/9/1,2026/2/21,200000,05分01秒,62.06%,22.49%,12.07%,44.61%,0.107,0.614,1.015,0.568,2.009,20.52%,1.356,0.02%,15.14%,0.064,0.524,273,208,0.4,0.182,0.236,"2024/05/14,2024/09/18",50.2,46,65,40,35,82,80,100,38,55,0,夏普:46 回撤:65 信息比率:40 年化:35 胜率:82 盈亏比:80 交易次数:100 阿尔法:38 索提诺:55 下单时段:0
2025_origin_py/30错杀反弹，掌握人性规律，开启投资新纪元,2023/9/1,2026/2/21,200000,,60.28%,21.92%,10.84%,44.61%,0.144,0.273,0.745,0.503,1.722,24.42%,0.885,0.03%,42.50%,0.015,0.521,75,74,0.179,0.241,0.236,"2024/08/15,2025/04/08",52.8,35,65,29,35,72,65,82,43,30,100,夏普:35 回撤:65 信息比率:29 年化:35 胜率:72 盈亏比:65 交易次数:82 阿尔法:43 索提诺:30 下单时段:100
2022_origin_py/100.实战型小盘价值策略--14年30倍,2023/9/1,2026/2/21,200000,01分54秒,60.10%,21.86%,29.35%,23.77%,0.146,0.603,0.953,0.719,5.169,21.02%,1.144,0.05%,22.37%,0.439,0.563,410,160,0.737,0.187,0.176,"2023/11/23,2024/02/07",62.2,43,65,45,35,88,100,100,43,55,100,夏普:43 回撤:65 信息比率:45 年化:35 胜率:88 盈亏比:100 交易次数:100 阿尔法:43 索提诺:55 下单时段:100
2024_1_origin_py/32.非线性市值（非小市值）组合4只,2023/9/1,2026/2/21,200000,05分59秒,60.00%,21.83%,29.26%,23.77%,0.125,0.998,0.586,0.5,2.053,26.85%,0.814,0.06%,24.92%,0.297,0.521,27,27,0.501,0.304,0.176,"2024/05/08,2024/09/18",40.8,28,55,45,35,60,80,60,41,30,0,夏普:28 回撤:55 信息比率:45 年化:35 胜率:60 盈亏比:80 交易次数:60 阿尔法:41 索提诺:30 下单时段:0
2022_origin_py/43.股指期货&quot;蜘蛛网策略&quot; ——从成交持仓表中捕捉知情投资者行为,2023/9/1,2026/2/21,200000,00分51秒,59.44%,21.65%,28.82%,23.77%,0.195,-0.342,0.389,0.5,14.673,34.90%,0.643,0.09%,47.19%,0.144,0.504,1,1,0.242,0.454,0.176,"2023/12/19,2024/09/25",45.1,19,45,32,35,60,100,20,49,30,100,夏普:19 回撤:45 信息比率:32 年化:35 胜率:60 盈亏比:100 交易次数:20 阿尔法:49 索提诺:30 下单时段:100
