策略名称,回测开始,回测结束,本金,回测耗时,策略收益,策略年化收益,超额收益,基准收益,阿尔法,贝塔,夏普比率,胜率,盈亏比,最大回撤,索提诺比率,日均超额收益,超额收益最大回撤,超额收益夏普比率,日胜率,盈利次数,亏损次数,信息比率,策略波动率,基准波动率,最大回撤区间,综合分,夏普分,回撤分,信息比率分,年化分,胜率分,盈亏比分,交易次数分,阿尔法分,索提诺分,下单时段分,打分细节
2024_1_origin_py/19.高股息低市盈率高增长的价投策略,2023/9/1,2026/2/21,200000,,57.92%,21.16%,27.59%,23.77%,0.131,0.763,0.935,0.624,2.795,16.02%,1.272,0.04%,11.20%,0.514,0.545,63,38,0.893,0.184,0.176,"2024/05/13,2024/09/13",62.8,42,78,45,35,88,90,82,41,55,100,夏普:42 回撤:78 信息比率:45 年化:35 胜率:88 盈亏比:90 交易次数:82 阿尔法:41 索提诺:55 下单时段:100
2025_origin_py/4高股息低市盈率高增长的价投策略,2023/9/1,2026/2/21,200000,00分52秒,57.92%,21.16%,27.59%,23.77%,0.131,0.763,0.935,0.624,2.795,16.02%,1.272,0.04%,11.20%,0.514,0.545,63,38,0.893,0.184,0.176,"2024/05/13,2024/09/13",62.8,42,78,45,35,88,90,82,41,55,100,夏普:42 回撤:78 信息比率:45 年化:35 胜率:88 盈亏比:90 交易次数:82 阿尔法:41 索提诺:55 下单时段:100
2024_2_origin_py/6.PEG+成长+小市值+RSRS择时,2023/9/1,2026/2/21,200000,06分58秒,56.14%,20.59%,26.15%,23.77%,0.116,0.936,0.482,0.635,1.577,36.32%,0.595,0.06%,34.25%,0.206,0.492,113,65,0.37,0.344,0.176,"2024/04/02,2024/09/18",49.4,24,45,38,35,88,65,88,40,30,100,夏普:24 回撤:45 信息比率:38 年化:35 胜率:88 盈亏比:65 交易次数:88 阿尔法:40 索提诺:30 下单时段:100
2022_origin_py/1.易方达二八轮动测试,2023/9/1,2026/2/21,200000,00分10秒,55.87%,20.50%,25.93%,23.77%,0.142,0.426,1.1,0.762,6.337,10.43%,1.467,0.04%,25.97%,0.377,0.513,16,5,0.676,0.15,0.176,"2025/10/29,2025/11/21",64.3,49,92,45,35,75,100,30,43,55,100,夏普:49 回撤:92 信息比率:45 年化:35 胜率:75 盈亏比:100 交易次数:30 阿尔法:43 索提诺:55 下单时段:100
2025_origin_py/58Debug-输出信息-多标的版ETF策略(ETF复现之三）,2023/9/1,2026/2/21,200000,01分19秒,54.92%,20.19%,-3.50%,60.54%,0.09,0.399,0.559,0.506,1.297,33.20%,0.829,0.01%,35.38%,-0.18,0.484,91,89,-0.059,0.289,0.219,"2024/11/13,2025/06/20",34.9,27,45,19,35,72,45,88,36,30,0,夏普:27 回撤:45 信息比率:19 年化:35 胜率:72 盈亏比:45 交易次数:88 阿尔法:36 索提诺:30 下单时段:0
2025_origin_py/56基于趋势、拥挤、景气的行业轮动，及行业强势个股的选择,2023/9/1,2026/2/21,200000,05分31秒,54.72%,20.13%,25.00%,23.77%,0.117,0.816,0.737,0.554,1.945,27.75%,1.037,0.04%,25.17%,0.347,0.513,267,215,0.639,0.219,0.176,"2023/11/22,2024/09/18",45.6,34,55,45,35,82,65,100,40,55,0,夏普:34 回撤:55 信息比率:45 年化:35 胜率:82 盈亏比:65 交易次数:100 阿尔法:40 索提诺:55 下单时段:0
2025_origin_py/32EPO优化低相关etf组合,2023/9/1,2026/2/21,200000,00分12秒,53.49%,19.73%,24.01%,23.77%,0.141,0.3,1.462,0.75,9.882,8.51%,1.785,0.04%,15.88%,0.354,0.529,66,22,0.669,0.108,0.176,"2024/05/20,2024/09/11",72.0,63,97,45,35,88,100,72,43,72,100,夏普:63 回撤:97 信息比率:45 年化:35 胜率:88 盈亏比:100 交易次数:72 阿尔法:43 索提诺:72 下单时段:100
2022_origin_py/4.自带仓位控制的股息率策略，超稳,2023/9/1,2026/2/21,200000,02分20秒,53.22%,19.63%,23.79%,23.77%,0.128,0.536,0.922,0.64,2.74,15.79%,1.271,0.04%,19.88%,0.332,0.531,32,18,0.63,0.17,0.176,"2024/05/29,2024/09/11",61.7,42,78,45,35,88,90,60,41,55,100,夏普:42 回撤:78 信息比率:45 年化:35 胜率:88 盈亏比:90 交易次数:60 阿尔法:41 索提诺:55 下单时段:100
2025_origin_py/40高股息策略,2023/9/1,2026/2/21,200000,03分20秒,53.19%,19.63%,23.77%,23.77%,0.115,0.765,0.825,0.565,2.066,22.07%,1.094,0.04%,14.64%,0.385,0.533,87,67,0.735,0.189,0.176,"2024/05/09,2024/09/18",48.6,38,65,45,35,82,80,88,39,55,0,夏普:38 回撤:65 信息比率:45 年化:35 胜率:82 盈亏比:80 交易次数:88 阿尔法:39 索提诺:55 下单时段:0
2025_origin_py/18国庆节献礼：实例说明白马股攻防转换策略,2023/9/1,2026/2/21,200000,00分15秒,52.72%,19.47%,23.38%,23.77%,0.114,0.759,0.771,0.585,2.598,15.61%,0.996,0.04%,18.72%,0.337,0.536,31,22,0.648,0.201,0.176,"2023/09/04,2023/12/19",58.7,36,78,45,34,82,90,60,39,30,100,夏普:36 回撤:78 信息比率:45 年化:34 胜率:82 盈亏比:90 交易次数:60 阿尔法:39 索提诺:30 下单时段:100
2022_origin_py/52.用指数战胜指数，ETF二八轮动对冲模型,2023/9/1,2026/2/21,200000,00分14秒,52.04%,19.25%,22.84%,23.77%,0.115,0.693,0.888,0.308,2.683,15.73%,1.208,0.04%,10.67%,0.378,0.545,8,18,0.745,0.172,0.176,"2024/11/11,2025/05/28",55.7,41,78,45,34,30,90,30,39,55,100,夏普:41 回撤:78 信息比率:45 年化:34 胜率:30 盈亏比:90 交易次数:30 阿尔法:39 索提诺:55 下单时段:100
2025_origin_py/23大盘择时，逻辑简单,2023/9/1,2026/2/21,200000,,51.77%,19.16%,22.62%,23.77%,0.134,0.328,1.233,0.833,103.878,12.12%,2.713,0.04%,24.49%,0.305,0.513,10,2,0.609,0.123,0.176,"2024/05/28,2024/09/13",54.4,54,88,45,34,55,100,20,42,92,0,夏普:54 回撤:88 信息比率:45 年化:34 胜率:55 盈亏比:100 交易次数:20 阿尔法:42 索提诺:92 下单时段:0
2022_origin_py/28.etf轮动的优化，680%收益,2023/9/1,2026/2/21,200000,00分39秒,47.44%,17.72%,19.12%,23.77%,0.085,0.974,0.547,0.652,2.045,25.43%,0.77,0.04%,16.97%,0.202,0.539,163,87,0.456,0.251,0.176,"2024/10/08,2024/10/17",53.4,27,55,43,33,92,80,92,36,30,100,夏普:27 回撤:55 信息比率:43 年化:33 胜率:92 盈亏比:80 交易次数:92 阿尔法:36 索提诺:30 下单时段:100
2024_2_origin_py/93.因子看板多因子模型---由量化课堂多因子模型修改,2023/9/1,2026/2/21,200000,00分56秒,46.53%,17.41%,18.39%,23.77%,0.098,0.664,0.964,0.571,1.787,19.04%,1.522,0.03%,14.19%,0.35,0.509,109,82,0.839,0.139,0.176,"2023/09/05,2024/09/09",61.7,44,78,45,32,82,65,88,37,72,100,夏普:44 回撤:78 信息比率:45 年化:32 胜率:82 盈亏比:65 交易次数:88 阿尔法:37 索提诺:72 下单时段:100
2024_2_origin_py/83.开盘幅度决定日内方向,2023/9/1,2026/2/21,200000,00分12秒,46.16%,17.29%,18.09%,23.77%,0.093,0.738,0.875,0.549,1.858,21.63%,1.173,0.03%,14.90%,0.355,0.531,62,51,0.867,0.152,0.176,"2024/10/08,2025/04/07",56.8,40,65,45,32,72,65,82,37,55,100,夏普:40 回撤:65 信息比率:45 年化:32 胜率:72 盈亏比:65 交易次数:82 阿尔法:37 索提诺:55 下单时段:100
2025_origin_py/85稳健型ETF策略,2023/9/1,2026/2/21,200000,,44.94%,16.88%,17.10%,23.77%,0.119,0.186,1.754,0.824,33.727,5.42%,1.909,0.03%,24.21%,0.183,0.541,14,3,0.476,0.073,0.176,"2026/01/29,2026/02/02",68.8,73,97,44,32,55,100,20,40,72,100,夏普:73 回撤:97 信息比率:44 年化:32 胜率:55 盈亏比:100 交易次数:20 阿尔法:40 索提诺:72 下单时段:100
2025_origin_py/71乱改一版股票加钱粮ETF组合,2023/9/1,2026/2/21,200000,5分42秒,43.45%,16.37%,11.04%,29.19%,0.102,0.297,1.222,0.407,1.659,8.78%,1.471,0.02%,23.39%,0.032,0.551,209,305,0.32,0.101,0.187,"2024/05/20,2024/09/122025_origin_py/73微盘400每日再平衡",63.3,54,97,36,31,45,65,100,38,55,100,夏普:54 回撤:97 信息比率:36 年化:31 胜率:45 盈亏比:65 交易次数:100 阿尔法:38 索提诺:55 下单时段:100
2024_2_origin_py/56.一创PEG+EBIT+turnover_volatility,2023/9/1,2026/2/21,200000,05分29秒,43.13%,16.26%,-1.02%,44.61%,0.014,0.852,0.304,0.522,1.592,55.04%,0.394,0.02%,53.38%,-0.127,0.526,47,43,-0.014,0.403,0.236,"2023/12/04,2024/07/24",36.0,15,15,20,31,72,65,72,27,15,100,夏普:15 回撤:15 信息比率:20 年化:31 胜率:72 盈亏比:65 交易次数:72 阿尔法:27 索提诺:15 下单时段:100
2024_2_origin_py/54.sales_growth今年最优版,2023/9/1,2026/2/21,200000,01分53秒,42.84%,16.16%,-1.22%,44.61%,0.05,0.56,0.416,0.453,1.317,39.26%,0.511,0.01%,38.63%,-0.162,0.487,232,280,-0.021,0.292,0.236,"2024/02/27,2024/09/03",32.6,21,45,20,31,60,45,100,31,30,0,夏普:21 回撤:45 信息比率:20 年化:31 胜率:60 盈亏比:45 交易次数:100 阿尔法:31 索提诺:30 下单时段:0
2024_2_origin_py/3.截止到21年12月依然有效的小市值适配因子,2023/9/1,2026/2/21,200000,02分36秒,42.50%,16.04%,-1.46%,44.61%,-0.002,0.957,0.316,0.536,1.212,43.75%,0.386,0.02%,42.83%,-0.152,0.523,37,32,-0.023,0.381,0.236,"2024/01/15,2024/02/07",36.9,16,30,20,31,72,45,60,25,15,100,夏普:16 回撤:30 信息比率:20 年化:31 胜率:72 盈亏比:45 交易次数:60 阿尔法:25 索提诺:15 下单时段:100
2022_origin_py/13.利用股息率长线选股【超稳】,2023/9/1,2026/2/21,200000,01分45秒,40.38%,15.32%,13.42%,23.77%,0.085,0.533,0.616,0.625,2.117,19.78%,0.877,0.03%,32.33%,0.081,0.504,10,6,0.334,0.184,0.176,"2024/10/08,2025/04/30",53.6,30,78,37,30,88,80,20,36,30,100,夏普:30 回撤:78 信息比率:37 年化:30 胜率:88 盈亏比:80 交易次数:20 阿尔法:36 索提诺:30 下单时段:100
2024_2_origin_py/73.实现净利润跳空策略,2023/9/1,2026/2/21,200000,08分07秒,40.16%,15.24%,13.24%,23.77%,0.049,1.173,0.324,0.532,1.539,41.94%,0.439,0.04%,37.58%,0.049,0.497,42,37,0.209,0.347,0.176,"2023/10/11,2024/02/07",39.9,16,30,30,30,72,65,60,31,15,100,夏普:16 回撤:30 信息比率:30 年化:30 胜率:72 盈亏比:65 交易次数:60 阿尔法:31 索提诺:15 下单时段:100
2024_2_origin_py/67.三因子策略年化21%简单多因子策略框架,2023/9/1,2026/2/21,200000,02分17秒,39.58%,15.04%,6.68%,30.84%,0.056,0.686,0.629,0.629,2.354,28.70%,0.717,0.02%,27.08%,-0.086,0.538,508,300,0.212,0.176,0.161,"2024/01/04,2024/02/07",52.2,30,55,31,30,88,80,100,32,30,100,夏普:30 回撤:55 信息比率:31 年化:30 胜率:88 盈亏比:80 交易次数:100 阿尔法:32 索提诺:30 下单时段:100
2022_origin_py/64.传统反转因子的改进与实测,2023/9/1,2026/2/21,200000,16分01秒,38.63%,14.71%,7.30%,29.19%,0.047,0.823,0.545,0.487,1.489,18.52%,0.93,0.02%,23.54%,-0.078,0.486,316,333,0.264,0.196,0.187,"2023/09/04,2024/09/06",51.6,27,78,33,30,60,45,100,31,30,100,夏普:27 回撤:78 信息比率:33 年化:30 胜率:60 盈亏比:45 交易次数:100 阿尔法:31 索提诺:30 下单时段:100
2025_origin_py/57韶华研究之十八，201系列,2023/9/1,2026/2/21,200000,16分05秒,37.91%,14.46%,5.86%,30.28%,0.084,0.264,0.373,0.522,1.27,22.93%,0.547,0.03%,32.13%,-0.052,0.459,145,133,0.09,0.281,0.161,"2025/03/20,2025/09/03",37.0,19,65,24,29,72,45,92,36,30,0,夏普:19 回撤:65 信息比率:24 年化:29 胜率:72 盈亏比:45 交易次数:92 阿尔法:36 索提诺:30 下单时段:0
2024_1_origin_py/16.大市值价值投资，从2005年至今超额稳定,2023/9/1,2026/2/21,200000,,36.71%,14.04%,10.45%,23.77%,0.055,0.836,0.432,0.685,2.456,18.09%,0.537,0.02%,17.08%,0.015,0.503,37,17,0.256,0.232,0.176,"2024/01/26,2024/02/05",53.1,22,78,33,29,92,80,60,32,30,100,夏普:22 回撤:78 信息比率:33 年化:29 胜率:92 盈亏比:80 交易次数:60 阿尔法:32 索提诺:30 下单时段:100
2022_origin_py/87.RSI衍生指标择时轮动A股ETF,2023/9/1,2026/2/21,200000,,35.63%,13.66%,9.58%,23.77%,0.077,0.36,0.525,0.255,1.976,14.69%,0.845,0.02%,27.69%,-0.004,0.492,12,35,0.208,0.184,0.176,"2024/01/23,2024/01/26",49.6,26,88,30,29,30,65,45,35,30,100,夏普:26 回撤:88 信息比率:30 年化:29 胜率:30 盈亏比:65 交易次数:45 阿尔法:35 索提诺:30 下单时段:100
2022_origin_py/58.100%胜率！历史PE估值价值投资择时交易,2023/9/1,2026/2/21,200000,00分28秒,34.14%,13.14%,8.38%,23.77%,0.048,0.807,0.582,1,68427.82,15.49%,0.734,0.01%,10.97%,-0.075,0.489,1,0,0.5,0.157,0.176,"2024/10/08,2025/04/07",51.8,28,78,45,28,40,100,20,31,30,100,夏普:28 回撤:78 信息比率:45 年化:28 胜率:40 盈亏比:100 交易次数:20 阿尔法:31 索提诺:30 下单时段:100
2024_2_origin_py/11.缠论交易策略,2023/9/1,2026/2/21,200000,00分11秒,33.52%,12.92%,7.88%,23.77%,0.037,0.966,0.263,1,67452,35.25%,0.279,0.03%,38.37%,-0.026,0.492,1,0,0.121,0.339,0.176,"2025/02/25,2025/04/07",39.2,13,45,26,28,40,100,20,30,15,100,夏普:13 回撤:45 信息比率:26 年化:28 胜率:40 盈亏比:100 交易次数:20 阿尔法:30 索提诺:15 下单时段:100
2024_2_origin_py/84.多大规模的基金收益最好？偏股基金规模研究,2023/9/1,2026/2/21,200000,01分12秒,32.27%,12.47%,6.18%,24.58%,0.03,0.964,0.446,0.235,0.442,22.45%,0.621,0.01%,18.54%,-0.168,0.548,12,39,0.324,0.19,0.176,"2023/09/07,2024/02/06",41.6,22,65,36,27,30,0,60,29,30,100,夏普:22 回撤:65 信息比率:36 年化:27 胜率:30 盈亏比:0 交易次数:60 阿尔法:29 索提诺:30 下单时段:100
2024_2_origin_py/88.打首板策略，今年收益达到40%，绝无未来函数（必回）,2023/9/1,2026/2/21,200000,62分40秒,31.63%,12.24%,6.35%,23.77%,0.028,1.007,0.234,0,0,36.01%,0.361,0.03%,33.40%,-0.045,0.496,0,0,0.094,0.353,0.176,"2024/10/29,2025/04/08",21.5,12,45,25,27,30,0,20,28,15,0,夏普:12 回撤:45 信息比率:25 年化:27 胜率:30 盈亏比:0 交易次数:20 阿尔法:28 索提诺:15 下单时段:0
2022_origin_py/12.回馈社区，分享市盈率股息率选股+均线止盈交易策略,2023/9/1,2026/2/21,200000,,30.50%,11.83%,5.43%,23.77%,0.045,0.618,0.398,1,77145.88,18.93%,0.638,0.02%,19.56%,-0.099,0.494,16,0,0.139,0.197,0.176,"2024/04/18,2024/09/10",47.4,20,78,27,27,40,100,20,31,30,100,夏普:20 回撤:78 信息比率:27 年化:27 胜率:40 盈亏比:100 交易次数:20 阿尔法:31 索提诺:30 下单时段:100
2025_origin_py/92行业宽度轮动研究,2023/9/1,2026/2/21,200000,03分30秒,30.23%,11.74%,-2.29%,33.29%,0.009,0.773,0.273,0.478,1.277,26.96%,0.417,0.01%,26.20%,-0.208,0.487,253,276,-0.046,0.284,0.208,"2024/03/18,2024/09/09",31.5,14,55,19,27,60,45,100,26,15,0,夏普:14 回撤:55 信息比率:19 年化:27 胜率:60 盈亏比:45 交易次数:100 阿尔法:26 索提诺:15 下单时段:0
2022_origin_py/22.多因子系列：基于多因子框架的收益预测模型,2023/9/1,2026/2/21,200000,03分50秒,30.12%,11.70%,-10.02%,44.61%,0.031,0.361,0.583,0.552,2.645,11.05%,0.708,-0.01%,33.71%,-0.459,0.516,502,408,-0.279,0.132,0.236,"2024/10/08,2024/10/11",46.0,28,92,14,27,82,90,100,29,30,0,夏普:28 回撤:92 信息比率:14 年化:27 胜率:82 盈亏比:90 交易次数:100 阿尔法:29 索提诺:30 下单时段:0
2024_2_origin_py/40.RSI学习贴,2023/9/1,2026/2/21,200000,00分58秒,29.81%,11.58%,4.87%,23.77%,0.03,0.847,0.366,0.543,1.86,33.12%,0.562,0.01%,22.99%,-0.135,0.497,38,32,0.151,0.207,0.176,"2023/09/06,2024/02/05",33.0,18,45,28,27,72,65,60,29,30,0,夏普:18 回撤:45 信息比率:28 年化:27 胜率:72 盈亏比:65 交易次数:60 阿尔法:29 索提诺:30 下单时段:0
2024_2_origin_py/66.ETF动量轮动MA乖离择时,2023/9/1,2026/2/21,200000,00分18秒,27.65%,10.80%,-18.07%,55.81%,-0.08,0.895,0.207,0.386,1.449,32.69%,0.346,-0.03%,27.92%,-0.757,0.489,22,35,-0.619,0.328,0.324,"2023/09/04,2024/09/10",33.2,10,45,8,26,30,45,60,23,15,100,夏普:10 回撤:45 信息比率:8 年化:26 胜率:30 盈亏比:45 交易次数:60 阿尔法:23 索提诺:15 下单时段:100
2025_origin_py/73微盘400每日再平衡,2023/9/1,2026/2/21,200000,07分51秒,26.95%,10.55%,-10.45%,41.76%,0.038,0.237,0.732,0.775,5.982,10.23%,0.869,-0.01%,37.46%,-0.379,0.489,1052,306,-0.235,0.089,0.283,"2024/04/02,2024/06/24",47.5,34,92,15,26,75,100,100,30,30,0,夏普:34 回撤:92 信息比率:15 年化:26 胜率:75 盈亏比:100 交易次数:100 阿尔法:30 索提诺:30 下单时段:0
2025_origin_py/90固收+,2023/9/1,2026/2/21,200000,00分11秒,26.77%,10.48%,17.36%,8.02%,0.068,0.484,1.646,1,13611.74,2.93%,1.86,0.03%,2.92%,0.749,0.588,8,0,1.82,0.039,0.016,"2026/01/29,2026/02/02",71.5,69,100,80,25,40,100,20,34,72,100,夏普:69 回撤:100 信息比率:80 年化:25 胜率:40 盈亏比:100 交易次数:20 阿尔法:34 索提诺:72 下单时段:100
2025_origin_py/91ETF-T0动量策略，年化 18%，回撤3.31%,2023/9/1,2026/2/21,200000,,25.48%,10.01%,-20.45%,57.73%,0.025,0.203,0.613,0.534,1.491,10.01%,0.84,-0.03%,32.79%,-0.67,0.415,132,115,-0.579,0.098,0.214,"2025/01/09,2025/01/16",41.4,30,92,8,25,72,45,92,28,30,0,夏普:30 回撤:92 信息比率:8 年化:25 胜率:72 盈亏比:45 交易次数:92 阿尔法:28 索提诺:30 下单时段:0
2024_2_origin_py/90.大师策略——柯林·麦克连成长价值优势投资法,2023/9/1,2026/2/21,200000,00分31秒,25.10%,9.87%,1.07%,23.77%,0.032,0.501,0.528,0.561,2.677,10.77%,0.659,0.00%,16.49%,-0.322,0.516,119,93,0.044,0.111,0.176,"2023/12/04,2024/02/05",56.0,26,92,22,25,82,90,92,29,30,100,夏普:26 回撤:92 信息比率:22 年化:25 胜率:82 盈亏比:90 交易次数:92 阿尔法:29 索提诺:30 下单时段:100
2025_origin_py/48投资回报率ROIC中等市值,2023/9/1,2026/2/21,200000,,25.07%,9.86%,1.05%,23.77%,0.019,0.737,0.351,0.529,1.867,19.40%,0.495,0.00%,25.62%,-0.312,0.492,18,16,0.042,0.167,0.176,"2024/10/08,2025/04/07",46.4,18,78,22,25,72,65,45,27,15,100,夏普:18 回撤:78 信息比率:22 年化:25 胜率:72 盈亏比:65 交易次数:45 阿尔法:27 索提诺:15 下单时段:100
2024_2_origin_py/27.中证500指增+CTA，胜率52%盈亏比1.9。不输顶尖私募,2023/9/1,2026/2/21,200000,,24.12%,9.50%,-14.17%,44.61%,-0.005,0.474,0.407,0.446,1.714,16.29%,0.547,-0.02%,26.88%,-0.712,0.513,41,51,-0.499,0.135,0.236,"2023/10/12,2024/09/18",45.2,20,78,10,24,45,65,72,25,30,100,夏普:20 回撤:78 信息比率:10 年化:24 胜率:45 盈亏比:65 交易次数:72 阿尔法:25 索提诺:30 下单时段:100
2024_2_origin_py/31.《趋势永存》持续16年跑赢大盘的真正靠谱策略,2023/9/1,2026/2/21,200000,03分24秒,22.38%,8.86%,-1.13%,23.77%,0.02,0.523,0.343,0.541,1.36,13.59%,0.371,0.00%,28.03%,-0.331,0.514,205,174,-0.038,0.142,0.176,"2024/05/13,2025/04/07",48.9,17,88,19,24,72,45,100,28,15,100,夏普:17 回撤:88 信息比率:19 年化:24 胜率:72 盈亏比:45 交易次数:100 阿尔法:28 索提诺:15 下单时段:100
2025_origin_py/24大容量低回撤价值投资-排除小市值因子,2023/9/1,2026/2/21,200000,,22.30%,8.83%,-15.43%,44.61%,0.009,0.306,0.495,0.583,2.878,7.75%,0.658,-0.02%,34.52%,-0.615,0.484,105,75,-0.449,0.097,0.236,"2023/12/04,2024/02/05",44.7,25,97,11,24,82,90,88,26,30,0,夏普:25 回撤:97 信息比率:11 年化:24 胜率:82 盈亏比:90 交易次数:88 阿尔法:26 索提诺:30 下单时段:0
2025_origin_py/60高股息V1.0（小程序公开股池）,2023/9/1,2026/2/21,200000,04分30秒,21.96%,8.70%,-8.50%,33.29%,-0.014,0.686,0.224,0.677,2.175,28.54%,0.337,-0.01%,34.92%,-0.459,0.506,21,10,-0.246,0.21,0.208,"2024/05/14,2024/09/13",32.1,11,55,15,24,92,80,45,25,15,0,夏普:11 回撤:55 信息比率:15 年化:24 胜率:92 盈亏比:80 交易次数:45 阿尔法:25 索提诺:15 下单时段:0
2025_origin_py/29穿越牛熊2.0(非小市值)年化50%的cta策略,2023/9/1,2026/2/21,200000,00分19秒,21.40%,8.49%,37.07%,-11.43%,0.092,0.522,0.334,0.459,1.419,11.84%,0.505,0.06%,11.20%,0.793,0.555,17,20,1.051,0.134,0.196,"2025/02/21,2025/07/01",53.4,17,92,65,23,60,45,45,36,30,100,夏普:17 回撤:92 信息比率:65 年化:23 胜率:60 盈亏比:45 交易次数:45 阿尔法:36 索提诺:30 下单时段:100
2022_origin_py/66.【配对交易】基于zscore的配对交易策略（胜率88.2%）,2023/9/1,2026/2/21,200000,00分13秒,20.79%,8.26%,-2.41%,23.77%,-0.004,0.866,0.184,0.6,5.257,27.62%,0.265,0.00%,35.99%,-0.285,0.486,3,2,-0.063,0.232,0.176,"2024/03/01,2024/09/13",41.5,9,55,19,23,82,100,20,25,15,100,夏普:9 回撤:55 信息比率:19 年化:23 胜率:82 盈亏比:100 交易次数:20 阿尔法:25 索提诺:15 下单时段:100
2024_2_origin_py/51.行业反转效应（年化32%回撤8%),2023/9/1,2026/2/21,200000,01分17秒,20.26%,8.06%,-2.84%,23.77%,-0.004,0.822,0.229,0.541,1.463,21.98%,0.314,0.00%,17.26%,-0.484,0.496,303,257,-0.122,0.177,0.176,"2023/09/04,2024/09/18",33.0,11,65,18,23,72,45,100,25,15,0,夏普:11 回撤:65 信息比率:18 年化:23 胜率:72 盈亏比:45 交易次数:100 阿尔法:25 索提诺:15 下单时段:0
2022_origin_py/90.相信波动率还是相信基本面？波动与估值因子A股驱动力测试,2023/9/1,2026/2/21,200000,02分15秒,19.98%,7.96%,-7.13%,29.19%,-0.018,0.778,0.225,0.675,2.215,20.24%,0.306,-0.01%,16.59%,-0.661,0.487,216,104,-0.318,0.176,0.187,"2023/09/04,2024/09/13",46.1,11,65,14,23,92,80,100,25,15,100,夏普:11 回撤:65 信息比率:14 年化:23 胜率:92 盈亏比:80 交易次数:100 阿尔法:25 索提诺:15 下单时段:100
2025_origin_py/87山寨红利,2023/9/1,2026/2/21,200000,00分42秒,19.86%,7.91%,-0.32%,20.25%,0.004,0.863,0.228,0.557,2.088,22.34%,0.296,0.00%,20.55%,-0.37,0.499,83,66,-0.013,0.171,0.153,"2024/05/21,2024/09/13",45.4,11,65,20,23,82,80,82,26,15,100,夏普:11 回撤:65 信息比率:20 年化:23 胜率:82 盈亏比:80 交易次数:82 阿尔法:26 索提诺:15 下单时段:100
